country_code,country_name,year,assessment_date,ascor_climate_governance,ascor_n_areas_scored,ascor_n_indicators_appl,ascor_full_diagnostic,ascor_n_areas_diagnostic,ascor_area_ep_1,ascor_area_cp_1,ascor_area_cp_5,ascor_area_cp_6,ascor_area_cf_3,ascor_area_cp_2,ascor_area_cp_3,ascor_area_cp_4,ascor_area_cf_2
AGO,Angola,2024,23/08/2024,0.2733333333333333,5,15,0.39444444444444443,6,0.6666666666666666,0.0,0.2,0.0,0.5,,,,1.0
AGO,Angola,2025,18/08/2025,0.2733333333333333,5,15,0.39444444444444443,6,0.6666666666666666,0.0,0.2,0.0,0.5,,,,1.0
ARE,United Arab Emirates,2024,23/08/2024,0.11666666666666665,5,14,0.10925925925925925,9,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.4,0.0
ARE,United Arab Emirates,2025,18/08/2025,0.3833333333333333,5,14,0.25740740740740736,9,0.3333333333333333,1.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.4,0.0
ARG,Argentina,2024,23/08/2024,0.7866666666666666,5,16,0.6037037037037037,9,0.3333333333333333,1.0,0.6,1.0,1.0,0.5,0.0,0.0,1.0
ARG,Argentina,2025,18/08/2025,0.62,5,16,0.5388888888888889,9,0.0,1.0,0.6,1.0,0.5,0.5,0.0,0.25,1.0
AUS,Australia,2023,31/10/2023,0.7666666666666666,5,15,0.5708333333333333,8,0.3333333333333333,1.0,0.75,0.75,1.0,0.3333333333333333,0.0,0.4,
AUS,Australia,2024,23/08/2024,0.7666666666666666,5,15,0.5958333333333332,8,0.3333333333333333,1.0,0.75,0.75,1.0,0.3333333333333333,0.0,0.6,
AUS,Australia,2025,18/08/2025,0.7666666666666666,5,15,0.5958333333333332,8,0.3333333333333333,1.0,0.75,0.75,1.0,0.3333333333333333,0.0,0.6,
AUT,Austria,2024,23/08/2024,0.8,5,14,0.8083333333333333,8,0.5,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.8,
