iso3,concept_id,bucket,subtotal,w_nominal,w_renorm,contribution,n_present,present
ABW,8,external,0.4292220616310596,0.2,0.3333333333333333,0.1430740205436865,4,True
ABW,8,fiscal,0.3854187770475825,0.4,0.6666666666666666,0.256945851365055,4,True
ABW,8,monetary,,0.4,0.0,0.0,0,False
AFG,8,external,0.5845357554325289,0.2,0.2,0.11690715108650579,4,True
AFG,8,fiscal,0.2853722455832835,0.4,0.4,0.11414889823331341,3,True
AFG,8,monetary,0.7025891714749375,0.4,0.4,0.28103566858997503,1,True
AGO,8,external,0.3792727167466321,0.2,0.2,0.07585454334932643,4,True
AGO,8,fiscal,0.5458807361850315,0.4,0.4,0.2183522944740126,4,True
AGO,8,monetary,0.58773523270561,0.4,0.4,0.23509409308224402,2,True
ALB,8,external,0.6229371510934217,0.2,0.2,0.12458743021868435,4,True
ALB,8,fiscal,0.6715429187994134,0.4,0.4,0.2686171675197654,3,True
ALB,8,monetary,0.6291445812375752,0.4,0.4,0.2516578324950301,2,True
AND,8,external,0.7437992844190399,0.2,0.3333333333333333,0.24793309480634662,3,True
AND,8,fiscal,0.602399976228841,0.4,0.6666666666666666,0.40159998415256065,4,True
AND,8,monetary,,0.4,0.0,0.0,0,False
ARE,8,external,0.5737762334867257,0.2,0.3333333333333333,0.19125874449557523,4,True
ARE,8,fiscal,,0.4,0.0,0.0,0,False
ARE,8,monetary,0.5783951869542884,0.4,0.6666666666666666,0.3855967913028589,2,True
ARG,8,external,0.31794980170491816,0.2,0.2,0.06358996034098363,4,True
ARG,8,fiscal,0.5113425878432436,0.4,0.4,0.20453703513729746,6,True
ARG,8,monetary,0.4735713802827049,0.4,0.4,0.18942855211308196,2,True
ARM,8,external,0.6587888417561172,0.2,0.2,0.13175776835122344,4,True
ARM,8,fiscal,0.6106588079340576,0.4,0.4,0.24426352317362304,7,True
ARM,8,monetary,0.6980791964298586,0.4,0.4,0.2792316785719435,1,True
ATG,8,external,0.6508195689716323,0.2,0.2,0.13016391379432646,4,True
ATG,8,fiscal,0.3307744393803505,0.4,0.4,0.1323097757521402,4,True
ATG,8,monetary,0.3651731662759164,0.4,0.4,0.14606926651036656,1,True
AUS,8,external,0.5773694320469845,0.2,0.2,0.11547388640939692,4,True
AUS,8,fiscal,0.5059868157525567,0.4,0.4,0.20239472630102268,4,True
AUS,8,monetary,0.3880592456928526,0.4,0.4,0.15522369827714105,2,True
AUT,8,external,0.5331638613239135,0.2,0.2,0.1066327722647827,4,True
AUT,8,fiscal,0.6958515983596784,0.4,0.4,0.2783406393438714,4,True
AUT,8,monetary,0.7377159007976118,0.4,0.4,0.2950863603190447,2,True
AZE,8,external,0.5716032388482843,0.2,0.2,0.11432064776965688,4,True
AZE,8,fiscal,0.504813338215627,0.4,0.4,0.2019253352862508,5,True
AZE,8,monetary,0.6110313684243964,0.4,0.4,0.2444125473697586,2,True
BDI,8,external,0.644436121250055,0.2,0.2,0.128887224250011,4,True
BDI,8,fiscal,0.3232028695805533,0.4,0.4,0.1292811478322213,5,True
BDI,8,monetary,0.5903043631612968,0.4,0.4,0.2361217452645187,2,True
BEL,8,external,0.644436121250055,0.2,0.2,0.128887224250011,4,True
BEL,8,fiscal,0.5830356133408705,0.4,0.4,0.2332142453363482,3,True
BEL,8,monetary,0.7227293248394444,0.4,0.4,0.28909172993577775,2,True
BEN,8,external,0.49873237458303565,0.2,0.2,0.09974647491660714,4,True
BEN,8,fiscal,0.6301697502040237,0.4,0.4,0.25206790008160945,3,True
BEN,8,monetary,0.6335000483928904,0.4,0.4,0.25340001935715617,2,True
BFA,8,external,0.49513917602277674,0.2,0.2,0.09902783520455535,4,True
BFA,8,fiscal,0.4315156446373788,0.4,0.4,0.17260625785495154,5,True
BFA,8,monetary,0.6335000483928904,0.4,0.4,0.25340001935715617,2,True
BGD,8,external,0.3107634045844002,0.2,0.2,0.062152680916880046,4,True
BGD,8,fiscal,0.4551029618704317,0.4,0.4,0.18204118474817269,3,True
BGD,8,monetary,0.48250399384906634,0.4,0.4,0.19300159753962653,2,True
BGR,8,external,0.5737762334867256,0.2,0.2,0.11475524669734512,4,True
BGR,8,fiscal,0.7249983566606134,0.4,0.4,0.2899993426642454,5,True
BGR,8,monetary,0.6793738627171381,0.4,0.4,0.2717495450868552,2,True
BHR,8,external,0.5630167115409223,0.2,0.3333333333333333,0.1876722371803074,4,True
BHR,8,fiscal,,0.4,0.0,0.0,0,False
BHR,8,monetary,0.44374261227239103,0.4,0.6666666666666666,0.295828408181594,2,True
BHS,8,external,0.3071902797591148,0.2,0.2,0.06143805595182296,4,True
BHS,8,fiscal,0.5368532032770906,0.4,0.4,0.21474128131083625,4,True
BHS,8,monetary,0.5869206987218977,0.4,0.4,0.23476827948875909,2,True
BIH,8,external,0.5343514179987447,0.2,0.2,0.10687028359974896,4,True
BIH,8,fiscal,0.3826156543137311,0.4,0.4,0.15304626172549246,1,True
BIH,8,monetary,0.7045938179695456,0.4,0.4,0.28183752718781824,2,True
BLR,8,external,0.5453235134565608,0.2,0.3333333333333333,0.18177450448552027,4,True
BLR,8,fiscal,,0.4,0.0,0.0,0,False
BLR,8,monetary,0.5386522630449513,0.4,0.6666666666666666,0.35910150869663415,2,True
BLZ,8,external,0.21140024141541527,0.2,1.0,0.21140024141541527,4,True
BLZ,8,fiscal,,0.4,0.0,0.0,0,False
BLZ,8,monetary,,0.4,0.0,0.0,0,False
BOL,8,external,0.7115407923166034,0.2,0.2,0.14230815846332068,4,True
BOL,8,fiscal,0.35995850227793763,0.4,0.4,0.14398340091117506,3,True
BOL,8,monetary,0.6678474299099836,0.4,0.4,0.26713897196399344,1,True
BRA,8,external,0.49733224439619145,0.2,0.2,0.09946644887923829,4,True
BRA,8,fiscal,0.7754700674773509,0.4,0.4,0.3101880269909404,4,True
BRA,8,monetary,0.6233138023109962,0.4,0.4,0.2493255209243985,2,True
BRB,8,external,0.23649241013230737,0.2,0.3333333333333333,0.07883080337743578,4,True
BRB,8,fiscal,0.14750941205794607,0.4,0.6666666666666666,0.0983396080386307,4,True
BRB,8,monetary,,0.4,0.0,0.0,0,False
BRN,8,external,0.5917020788180732,0.2,0.3333333333333333,0.19723402627269107,3,True
BRN,8,fiscal,,0.4,0.0,0.0,0,False
BRN,8,monetary,0.5680833384870503,0.4,0.6666666666666666,0.3787222256580335,2,True
BTN,8,external,0.2257529619214775,0.2,0.2,0.0451505923842955,4,True
BTN,8,fiscal,0.5941780812020373,0.4,0.4,0.23767123248081493,2,True
BTN,8,monetary,0.6195498478246918,0.4,0.4,0.24781993912987674,1,True
BWA,8,external,0.7223003142624066,0.2,0.2,0.14446006285248134,4,True
BWA,8,fiscal,0.6106553634171825,0.4,0.4,0.24426214536687302,7,True
BWA,8,monetary,0.44702300532356337,0.4,0.4,0.17880920212942536,2,True
CAF,8,external,0.24426094556705713,0.2,0.2,0.04885218911341143,4,True
CAF,8,fiscal,0.30241800722076295,0.4,0.4,0.12096720288830519,3,True
CAF,8,monetary,0.6852183006924606,0.4,0.4,0.27408732027698424,1,True
CAN,8,external,0.5510897066552611,0.2,0.2,0.11021794133105223,4,True
CAN,8,fiscal,0.2926703104374002,0.4,0.4,0.1170681241749601,5,True
CAN,8,monetary,0.5281244625707229,0.4,0.4,0.21124978502828917,2,True
CHE,8,external,0.529590736498628,0.2,0.2,0.1059181472997256,4,True
CHE,8,fiscal,0.6735159551246389,0.4,0.4,0.26940638204985556,4,True
CHE,8,monetary,0.6492917491042332,0.4,0.4,0.25971669964169325,2,True
CHL,8,external,0.5630167115409223,0.2,0.2,0.11260334230818446,4,True
CHL,8,fiscal,0.6171766325090712,0.4,0.4,0.24687065300362848,5,True
CHL,8,monetary,0.5878795796712338,0.4,0.4,0.23515183186849353,2,True
CHN,8,external,0.24098892676637443,0.2,0.2,0.04819778535327489,4,True
CHN,8,fiscal,0.3260731616781707,0.4,0.4,0.13042926467126828,1,True
CHN,8,monetary,0.5887773206529768,0.4,0.4,0.23551092826119074,2,True
CIV,8,external,0.49513917602277674,0.2,0.2,0.09902783520455535,4,True
