iso3,category,year,category_score
ABW,Accountability,2005,0.5037558685
ABW,Economic and fiscal governance,2005,0.3534699503
ABW,Political foundations,2005,0.5916303027
ABW,Rule of law,2005,0.3142109501
ABW,State capacity,2005,0.6496801563
AFG,Accountability,2005,0.4105692466
AFG,Economic and fiscal governance,2005,0.4040508192
AFG,Political foundations,2005,0.3487236993
AFG,Rule of law,2005,0.2960439899
AFG,State capacity,2005,0.1926492262
AGO,Accountability,2005,0.3184339744
AGO,Economic and fiscal governance,2005,0.2700905361
AGO,Political foundations,2005,0.333927283
AGO,Rule of law,2005,0.3723068601
AGO,State capacity,2005,0.3032581375
ALB,Accountability,2005,0.5207519021
ALB,Economic and fiscal governance,2005,0.4775350436
ALB,Political foundations,2005,0.4853273949
ALB,Rule of law,2005,0.4672529228
ALB,State capacity,2005,0.5399008178
AND,Accountability,2005,0.6029047728
AND,Economic and fiscal governance,2005,0.3319692628
AND,Political foundations,2005,0.5900751719
AND,Rule of law,2005,0.6194963398
AND,State capacity,2005,0.5998816785
ARE,Accountability,2005,0.2513637055
ARE,Economic and fiscal governance,2005,0.3950826032
ARE,Political foundations,2005,0.4409849304
ARE,Rule of law,2005,0.4628920885
ARE,State capacity,2005,0.5852024133
ARG,Accountability,2005,0.5504141383
ARG,Economic and fiscal governance,2005,0.4753953262
ARG,Political foundations,2005,0.5825057741
ARG,Rule of law,2005,0.494877938
ARG,State capacity,2005,0.5773173323
ARM,Accountability,2005,0.4034940685
ARM,Economic and fiscal governance,2005,0.504083112
ARM,Political foundations,2005,0.449916948
ARM,Rule of law,2005,0.4418301448
ARM,State capacity,2005,0.5097517194
ASM,Accountability,2005,0.5037558685
ASM,Economic and fiscal governance,2005,0.4462422123
ASM,Political foundations,2005,0.5642587096
ASM,Rule of law,2005,0.2119565217
ASM,State capacity,2005,0.4699591509
ATG,Accountability,2005,0.6029047728
ATG,Economic and fiscal governance,2005,0.4059297773
ATG,Political foundations,2005,0.5671019277
ATG,Rule of law,2005,0.619321868
ATG,State capacity,2005,0.6173665688
AUS,Accountability,2005,0.6433264536
AUS,Economic and fiscal governance,2005,0.566460892
AUS,Political foundations,2005,0.6087502431
AUS,Rule of law,2005,0.7152547359
AUS,State capacity,2005,0.6789176281
AUT,Accountability,2005,0.6406573301
AUT,Economic and fiscal governance,2005,0.6449219896
AUT,Political foundations,2005,0.6090656935
AUT,Rule of law,2005,0.7107187084
AUT,State capacity,2005,0.6790067659
AZE,Accountability,2005,0.2885873856
AZE,Economic and fiscal governance,2005,0.3174926577
AZE,Political foundations,2005,0.3616048888
AZE,Rule of law,2005,0.3716808736
AZE,State capacity,2005,0.4183937509
BDI,Accountability,2005,0.4261609874
BDI,Economic and fiscal governance,2005,0.3063860283
BDI,Political foundations,2005,0.285882391
BDI,Rule of law,2005,0.3236868752
BDI,State capacity,2005,0.3169209951
BEL,Accountability,2005,0.6609855485
BEL,Economic and fiscal governance,2005,0.610232725
BEL,Political foundations,2005,0.6386675774
BEL,Rule of law,2005,0.6877257396
BEL,State capacity,2005,0.699720532
BEN,Accountability,2005,0.5574995742
BEN,Economic and fiscal governance,2005,0.4116496123
BEN,Political foundations,2005,0.5666182706
BEN,Rule of law,2005,0.5399340385
BEN,State capacity,2005,0.3517069192
BFA,Accountability,2005,0.4979407514
BFA,Economic and fiscal governance,2005,0.4028803416
BFA,Political foundations,2005,0.5165466091
BFA,Rule of law,2005,0.5227754307
BFA,State capacity,2005,0.3308302005
BGD,Accountability,2005,0.4335060804
BGD,Economic and fiscal governance,2005,0.3432156195
BGD,Political foundations,2005,0.3227803257
BGD,Rule of law,2005,0.4274080069
BGD,State capacity,2005,0.4248452192
BGR,Accountability,2005,0.5542458468
BGR,Economic and fiscal governance,2005,0.551788893
BGR,Political foundations,2005,0.5636622885
BGR,Rule of law,2005,0.56049251
BGR,State capacity,2005,0.5968694602
BHR,Accountability,2005,0.351715668
BHR,Economic and fiscal governance,2005,0.4280136075
BHR,Political foundations,2005,0.4105800956
BHR,Rule of law,2005,0.4799196521
BHR,State capacity,2005,0.4675756985
BHS,Accountability,2005,0.5658255126
BHS,Economic and fiscal governance,2005,0.3810325181
BHS,Political foundations,2005,0.5704769048
BHS,Rule of law,2005,0.4626261487
BHS,State capacity,2005,0.6290872499
BIH,Accountability,2005,0.4856697786
BIH,Economic and fiscal governance,2005,0.4607475911
BIH,Political foundations,2005,0.4997146156
BIH,Rule of law,2005,0.5074697202
BIH,State capacity,2005,0.4408414079
BLR,Accountability,2005,0.296853947
BLR,Economic and fiscal governance,2005,0.2688089625
BLR,Political foundations,2005,0.5576010114
BLR,Rule of law,2005,0.4591419056
BLR,State capacity,2005,0.5368296266
BLZ,Accountability,2005,0.4916669922
BLZ,Economic and fiscal governance,2005,0.3557884299
BLZ,Political foundations,2005,0.5370165675
BLZ,Rule of law,2005,0.4683951131
BLZ,State capacity,2005,0.4846878043
BMU,Accountability,2005,0.5037558685
BMU,Economic and fiscal governance,2005,0.5506245795
BMU,Political foundations,2005,0.5668213927
BMU,Rule of law,2005,0.4671900161
BMU,State capacity,2005,0.6239134
BOL,Accountability,2005,0.5473301331
