iso3,category,category_score,n_concepts,sum_effective_weight,category_weight_rule
ABW,Economic and fiscal governance,0.49726623993554936,5,3.75,equal
ABW,Political foundations,0.7239353186072632,1,1.0,equal
ABW,Rule of law,0.5962844586496204,1,1.0,equal
ABW,State capacity,0.5254101987027181,3,3.0,equal
AFG,Accountability,0.21948835808461345,7,7.0,equal
AFG,Economic and fiscal governance,0.2940185653072798,5,4.0,equal
AFG,Political foundations,0.1957028153593976,2,2.0,equal
AFG,Rule of law,0.2073532052741764,5,5.0,equal
AFG,State capacity,0.2515127703103111,4,4.0,equal
AGO,Accountability,0.3761631679153547,7,7.0,equal
AGO,Economic and fiscal governance,0.38316446999062603,6,4.75,equal
AGO,Political foundations,0.38963362526350653,2,2.0,equal
AGO,Rule of law,0.3932742282610664,5,5.0,equal
AGO,State capacity,0.39331324528457523,4,4.0,equal
ALB,Accountability,0.5130485841470921,7,7.0,equal
ALB,Economic and fiscal governance,0.5753803242071017,6,4.75,equal
ALB,Political foundations,0.5064276110605883,2,2.0,equal
ALB,Rule of law,0.49342777336911015,5,5.0,equal
ALB,State capacity,0.5295709540147703,4,4.0,equal
AND,Accountability,0.6435663143943156,6,6.0,equal
AND,Economic and fiscal governance,0.6234484294514631,4,3.25,equal
AND,Political foundations,0.5853525700196452,1,1.0,equal
AND,Rule of law,0.5980222075644428,3,3.0,equal
AND,State capacity,0.5524716574889016,3,3.0,equal
ARE,Accountability,0.31325138021443183,7,7.0,equal
ARE,Economic and fiscal governance,0.5089854980573283,6,4.75,equal
ARE,Political foundations,0.5071557698156284,2,2.0,equal
ARE,Rule of law,0.5280429414763341,5,5.0,equal
ARE,State capacity,0.6355924261668476,4,4.0,equal
ARG,Accountability,0.5501010015274136,7,7.0,equal
ARG,Economic and fiscal governance,0.48985774940081805,6,4.75,equal
ARG,Political foundations,0.5845166363946539,2,2.0,equal
ARG,Rule of law,0.49057120322537545,5,5.0,equal
ARG,State capacity,0.5270089965423767,4,4.0,equal
ARM,Accountability,0.532385838280997,7,7.0,equal
ARM,Economic and fiscal governance,0.5834208640099598,6,4.75,equal
ARM,Political foundations,0.5229582007929964,2,2.0,equal
ARM,Rule of law,0.47617549050591246,5,5.0,equal
ARM,State capacity,0.5176799153454351,4,4.0,equal
ASM,Economic and fiscal governance,0.42812685582830645,2,1.5,equal
ASM,Political foundations,0.7109395252438642,1,1.0,equal
ASM,Rule of law,0.991410307630843,1,1.0,equal
ASM,State capacity,0.56785110553655,2,2.0,equal
ATG,Accountability,0.6112300531796733,6,6.0,equal
ATG,Economic and fiscal governance,0.47059412067860623,5,3.75,equal
ATG,Political foundations,0.6243894851871281,2,2.0,equal
ATG,Rule of law,0.5820667876067233,5,5.0,equal
ATG,State capacity,0.5365661660224981,4,4.0,equal
AUS,Accountability,0.667219183936255,7,7.0,equal
AUS,Economic and fiscal governance,0.6311883115618306,6,4.75,equal
AUS,Political foundations,0.6467962815381495,2,2.0,equal
AUS,Rule of law,0.7207850003132268,5,5.0,equal
AUS,State capacity,0.6853177767088344,4,4.0,equal
AUT,Accountability,0.6425952221485176,7,7.0,equal
AUT,Economic and fiscal governance,0.6403812168992504,6,4.75,equal
AUT,Political foundations,0.6641317448112949,2,2.0,equal
AUT,Rule of law,0.7032853905915755,5,5.0,equal
AUT,State capacity,0.6683408120893707,4,4.0,equal
AZE,Accountability,0.26370514833330394,7,7.0,equal
AZE,Economic and fiscal governance,0.44594214343599436,6,4.75,equal
AZE,Political foundations,0.41726538947136155,2,2.0,equal
AZE,Rule of law,0.3237270695611387,5,5.0,equal
AZE,State capacity,0.4874438018953249,4,4.0,equal
BDI,Accountability,0.2780881933286689,7,7.0,equal
BDI,Economic and fiscal governance,0.3836061383250374,5,4.0,equal
BDI,Political foundations,0.3937713474039644,2,2.0,equal
BDI,Rule of law,0.33756244247475686,5,5.0,equal
BDI,State capacity,0.3698167629773903,4,4.0,equal
BEL,Accountability,0.6840059977080682,7,7.0,equal
BEL,Economic and fiscal governance,0.6735701772071878,6,4.75,equal
BEL,Political foundations,0.6391404720614946,2,2.0,equal
BEL,Rule of law,0.7094090894825473,5,5.0,equal
BEL,State capacity,0.6570925867398426,4,4.0,equal
BEN,Accountability,0.48394353745363,7,7.0,equal
BEN,Economic and fiscal governance,0.49891596989732284,6,4.75,equal
BEN,Political foundations,0.4526444554843518,2,2.0,equal
BEN,Rule of law,0.5205319938034347,5,5.0,equal
BEN,State capacity,0.4443659304502442,4,4.0,equal
BFA,Accountability,0.37261736229431225,7,7.0,equal
BFA,Economic and fiscal governance,0.4398354328647376,6,4.75,equal
BFA,Political foundations,0.38439864011221747,2,2.0,equal
BFA,Rule of law,0.4288458403595719,5,5.0,equal
BFA,State capacity,0.39423042575202966,4,4.0,equal
BGD,Accountability,0.4008124311502768,7,7.0,equal
BGD,Economic and fiscal governance,0.4387796777449415,6,4.75,equal
BGD,Political foundations,0.36839490516375084,2,2.0,equal
BGD,Rule of law,0.4019859036765503,5,5.0,equal
BGD,State capacity,0.4538246132277858,4,4.0,equal
BGR,Accountability,0.5722745449886156,7,7.0,equal
BGR,Economic and fiscal governance,0.5583072376012927,6,4.75,equal
BGR,Political foundations,0.5760735779100765,2,2.0,equal
BGR,Rule of law,0.5148424163775123,5,5.0,equal
BGR,State capacity,0.5690946432742995,4,4.0,equal
BHR,Accountability,0.2979946872370559,7,7.0,equal
BHR,Economic and fiscal governance,0.49255151348393406,6,4.75,equal
BHR,Political foundations,0.4016430317441635,2,2.0,equal
BHR,Rule of law,0.48759506692318483,5,5.0,equal
BHR,State capacity,0.4755464989898971,4,4.0,equal
BHS,Accountability,0.6089653975418484,6,6.0,equal
BHS,Economic and fiscal governance,0.4662048611867268,5,3.75,equal
BHS,Political foundations,0.6310271236433724,2,2.0,equal
BHS,Rule of law,0.4823829400742257,5,5.0,equal
BHS,State capacity,0.4970205120451935,4,4.0,equal
BIH,Accountability,0.48824836810958605,7,7.0,equal
BIH,Economic and fiscal governance,0.4908598797036893,6,4.75,equal
BIH,Political foundations,0.4682649743492531,2,2.0,equal
BIH,Rule of law,0.5144717660788138,5,5.0,equal
BIH,State capacity,0.4430347033131495,4,4.0,equal
BLR,Accountability,0.24491003145451778,7,7.0,equal
BLR,Economic and fiscal governance,0.4022299036930037,6,4.75,equal
BLR,Political foundations,0.4609287021513615,2,2.0,equal
BLR,Rule of law,0.3820826877539775,5,5.0,equal
BLR,State capacity,0.5187576556533339,4,4.0,equal
BLZ,Accountability,0.596541043014056,6,6.0,equal
BLZ,Economic and fiscal governance,0.42437996151672674,5,3.75,equal
BLZ,Political foundations,0.5816225191425233,2,2.0,equal
BLZ,Rule of law,0.4631719426009961,5,5.0,equal
BLZ,State capacity,0.44583655565908836,4,4.0,equal
BMU,Economic and fiscal governance,0.46144781107816824,4,2.75,equal
BMU,Political foundations,0.6634799338618445,1,1.0,equal
BMU,Rule of law,0.3282061526168598,1,1.0,equal
BMU,State capacity,0.6693540042990729,2,2.0,equal
BOL,Accountability,0.5194815322752449,7,7.0,equal
BOL,Economic and fiscal governance,0.43928226960779293,6,4.75,equal
BOL,Political foundations,0.4812110178686184,2,2.0,equal
BOL,Rule of law,0.3799521727714736,5,5.0,equal
BOL,State capacity,0.4633739931433528,4,4.0,equal
BRA,Accountability,0.6249567574837617,7,7.0,equal
BRA,Economic and fiscal governance,0.557820680911622,6,4.75,equal
BRA,Political foundations,0.5227754704325374,2,2.0,equal
BRA,Rule of law,0.48327672534949695,5,5.0,equal
BRA,State capacity,0.5156274855442841,4,4.0,equal
BRB,Accountability,0.5917406815945022,7,7.0,equal
BRB,Economic and fiscal governance,0.4077384800541522,6,4.75,equal
BRB,Political foundations,0.6008753395257519,2,2.0,equal
BRB,Rule of law,0.5985447535375701,5,5.0,equal
BRB,State capacity,0.5289157196115901,4,4.0,equal
BRN,Accountability,0.3054722663322651,6,6.0,equal
BRN,Economic and fiscal governance,0.5488682617443352,5,3.75,equal
BRN,Political foundations,0.4941039903740307,2,2.0,equal
BRN,Rule of law,0.6655296208365717,4,4.0,equal
BRN,State capacity,0.5784553955926737,4,4.0,equal
BTN,Accountability,0.5410639701826306,7,7.0,equal
BTN,Economic and fiscal governance,0.443640264728659,6,4.75,equal
BTN,Political foundations,0.5173649784259763,2,2.0,equal
BTN,Rule of law,0.5538348495074493,5,5.0,equal
BTN,State capacity,0.505929160319082,4,4.0,equal
BWA,Accountability,0.5331660709635748,7,7.0,equal
BWA,Economic and fiscal governance,0.5062461576324796,6,4.75,equal
BWA,Political foundations,0.5611516402618751,2,2.0,equal
BWA,Rule of law,0.5628991997517006,5,5.0,equal
BWA,State capacity,0.5440114241255597,4,4.0,equal
CAF,Accountability,0.3091770865303719,7,7.0,equal
CAF,Economic and fiscal governance,0.393143575509868,6,4.75,equal
CAF,Political foundations,0.3514045632628329,2,2.0,equal
CAF,Rule of law,0.285926295541674,5,5.0,equal
CAF,State capacity,0.24301454803200837,4,4.0,equal
CAN,Accountability,0.6533694467426489,7,7.0,equal
CAN,Economic and fiscal governance,0.5995735181783232,6,4.75,equal
CAN,Political foundations,0.595775038741095,2,2.0,equal
CAN,Rule of law,0.6734938324944857,5,5.0,equal
CAN,State capacity,0.6613091248100964,4,4.0,equal
CHE,Accountability,0.6981947653313757,7,7.0,equal
