country_name,year,civicus_score,civicus_rating
Afghanistan,2022,30.15,Repressed
Afghanistan,2023,12.16,Closed
Afghanistan,2024,11.0,Closed
Afghanistan,2025,7.68,Closed
Albania,2023,69.33,Narrowed
Albania,2024,64.0,Narrowed
Albania,2025,68.21,Narrowed
Algeria,2023,31.18,Repressed
Algeria,2024,31.0,Repressed
Algeria,2025,26.86,Repressed
Andorra,2023,85.57,Open
Andorra,2024,82.0,Open
Andorra,2025,82.59,Open
Angola,2023,35.08,Repressed
Angola,2024,28.0,Repressed
Angola,2025,23.97,Repressed
Antigua and Barbuda,2023,78.82,Narrowed
Antigua and Barbuda,2024,79.0,Narrowed
Antigua and Barbuda,2025,71.12,Narrowed
Argentina,2022,70.37,Narrowed
Argentina,2023,68.84,Narrowed
Argentina,2024,65.0,Narrowed
Argentina,2025,59.3,Obstructed
Armenia,2022,56.36,Obstructed
Armenia,2023,63.96,Narrowed
Armenia,2024,69.0,Narrowed
Armenia,2025,66.06,Narrowed
Australia,2023,80.05,Narrowed
Australia,2024,76.0,Narrowed
Australia,2025,80.48,Narrowed
Austria,2023,86.25,Open
Austria,2024,84.0,Open
Austria,2025,82.83,Open
Azerbaijan,2022,15.05,Closed
Azerbaijan,2023,16.01,Closed
Azerbaijan,2024,14.0,Closed
Azerbaijan,2025,11.95,Closed
Bahamas,2023,88.31,Open
Bahamas,2024,87.0,Open
Bahamas,2025,88.0,Open
Bahrain,2022,12.02,Closed
Bahrain,2023,15.48,Closed
Bahrain,2024,18.0,Closed
Bahrain,2025,16.62,Closed
Bangladesh,2022,24.88,Repressed
Bangladesh,2023,20.12,Closed
Bangladesh,2024,24.0,Repressed
Bangladesh,2025,29.13,Repressed
Barbados,2023,94.98,Open
Barbados,2024,95.0,Open
Barbados,2025,89.85,Open
Belarus,2022,16.32,Closed
Belarus,2023,15.75,Closed
Belarus,2024,10.0,Closed
Belarus,2025,8.6,Closed
Belgium,2023,78.54,Narrowed
Belgium,2024,80.0,Narrowed
Belgium,2025,77.42,Narrowed
Belize,2022,66.53,Narrowed
Belize,2023,72.81,Narrowed
Belize,2024,75.0,Narrowed
Belize,2025,78.5,Narrowed
Benin,2023,47.28,Obstructed
Benin,2024,51.0,Obstructed
Benin,2025,48.8,Obstructed
Bhutan,2023,52.67,Obstructed
Bhutan,2024,50.0,Obstructed
Bhutan,2025,50.74,Obstructed
Bolivia,2023,51.65,Obstructed
Bolivia,2024,51.0,Obstructed
Bolivia,2025,50.14,Obstructed
Bosnia & Herzegovina,2023,55.81,Obstructed
Bosnia & Herzegovina,2024,57.0,Obstructed
Bosnia & Herzegovina,2025,56.88,Obstructed
Botswana,2022,53.62,Obstructed
Botswana,2023,59.83,Obstructed
Botswana,2024,69.0,Narrowed
