country_code,year,new_laws,climate_laws_cumulative
AFG,2007,1,1
AFG,2008,1,2
AFG,2009,1,3
AFG,2010,0,3
AFG,2011,2,5
AFG,2012,1,6
AFG,2013,0,6
AFG,2014,2,8
AFG,2015,4,12
AFG,2016,1,13
AFG,2017,1,14
AFG,2018,0,14
AFG,2019,0,14
AFG,2020,0,14
AFG,2021,0,14
AFG,2022,0,14
AFG,2023,0,14
AFG,2024,0,14
AFG,2025,0,14
AFG,2026,0,14
AGO,2008,1,1
AGO,2009,2,3
AGO,2010,1,4
AGO,2011,0,4
AGO,2012,3,7
AGO,2013,2,9
AGO,2014,5,14
AGO,2015,1,15
AGO,2016,2,17
AGO,2017,3,20
AGO,2018,3,23
AGO,2019,0,23
AGO,2020,0,23
AGO,2021,0,23
AGO,2022,0,23
AGO,2023,0,23
AGO,2024,0,23
AGO,2025,0,23
AGO,2026,0,23
ALB,2003,1,1
ALB,2004,0,1
ALB,2005,0,1
ALB,2006,0,1
ALB,2007,0,1
ALB,2008,1,2
ALB,2009,0,2
ALB,2010,0,2
ALB,2011,0,2
ALB,2012,0,2
ALB,2013,1,3
ALB,2014,1,4
ALB,2015,3,7
ALB,2016,7,14
ALB,2017,3,17
ALB,2018,0,17
ALB,2019,2,19
ALB,2020,2,21
ALB,2021,2,23
ALB,2022,1,24
ALB,2023,1,25
ALB,2024,0,25
ALB,2025,0,25
ALB,2026,0,25
AND,2010,2,2
AND,2011,0,2
AND,2012,0,2
AND,2013,1,3
AND,2014,1,4
AND,2015,1,5
AND,2016,1,6
AND,2017,1,7
AND,2018,3,10
AND,2019,1,11
AND,2020,6,17
AND,2021,2,19
AND,2022,5,24
AND,2023,2,26
AND,2024,3,29
AND,2025,0,29
AND,2026,0,29
ARE,2009,1,1
ARE,2010,0,1
ARE,2011,0,1
ARE,2012,0,1
ARE,2013,1,2
ARE,2014,0,2
ARE,2015,2,4
ARE,2016,0,4
ARE,2017,5,9
ARE,2018,2,11
ARE,2019,1,12
ARE,2020,0,12
ARE,2021,3,15
ARE,2022,0,15
ARE,2023,3,18
ARE,2024,3,21
ARE,2025,0,21
ARE,2026,0,21
ARG,1991,1,1
ARG,1992,0,1
ARG,1993,0,1
ARG,1994,0,1
ARG,1995,0,1
ARG,1996,0,1
ARG,1997,0,1
ARG,1998,1,2
ARG,1999,2,4
ARG,2000,0,4
ARG,2001,0,4
ARG,2002,0,4
ARG,2003,0,4
ARG,2004,1,5
ARG,2005,2,7
ARG,2006,2,9
ARG,2007,2,11
ARG,2008,0,11
ARG,2009,2,13
ARG,2010,2,15
ARG,2011,0,15
ARG,2012,0,15
ARG,2013,0,15
ARG,2014,0,15
ARG,2015,1,16
ARG,2016,6,22
ARG,2017,8,30
ARG,2018,5,35
ARG,2019,8,43
ARG,2020,3,46
ARG,2021,5,51
ARG,2022,2,53
ARG,2023,8,61
ARG,2024,1,62
ARG,2025,1,63
ARG,2026,1,64
ARM,1991,1,1
ARM,1992,0,1
ARM,1993,0,1
ARM,1994,0,1
ARM,1995,0,1
ARM,1996,0,1
ARM,1997,0,1
ARM,1998,0,1
ARM,1999,0,1
ARM,2000,0,1
ARM,2001,0,1
ARM,2002,0,1
ARM,2003,0,1
ARM,2004,1,2
ARM,2005,2,4
ARM,2006,0,4
ARM,2007,1,5
ARM,2008,1,6
ARM,2009,0,6
ARM,2010,0,6
ARM,2011,0,6
ARM,2012,0,6
ARM,2013,0,6
ARM,2014,1,7
ARM,2015,0,7
ARM,2016,0,7
ARM,2017,0,7
ARM,2018,0,7
ARM,2019,2,9
ARM,2020,0,9
ARM,2021,3,12
ARM,2022,0,12
ARM,2023,0,12
ARM,2024,0,12
ARM,2025,0,12
ARM,2026,0,12
ATG,1990,0,1
ATG,1991,0,1
ATG,1992,0,1
ATG,1993,0,1
ATG,1994,0,1
ATG,1995,0,1
ATG,1996,0,1
ATG,1997,0,1
ATG,1998,0,1
ATG,1999,0,1
ATG,2000,0,1
ATG,2001,0,1
ATG,2002,1,2
ATG,2003,1,3
ATG,2004,0,3
ATG,2005,0,3
ATG,2006,0,3
ATG,2007,0,3
ATG,2008,0,3
ATG,2009,0,3
ATG,2010,0,3
ATG,2011,3,6
ATG,2012,0,6
ATG,2013,1,7
ATG,2014,0,7
ATG,2015,4,11
ATG,2016,0,11
ATG,2017,0,11
ATG,2018,0,11
ATG,2019,0,11
ATG,2020,0,11
ATG,2021,0,11
ATG,2022,0,11
ATG,2023,1,12
ATG,2024,0,12
ATG,2025,0,12
ATG,2026,0,12
AUS,1990,0,1
AUS,1991,0,1
AUS,1992,0,1
AUS,1993,0,1
AUS,1994,0,1
AUS,1995,0,1
AUS,1996,0,1
AUS,1997,0,1
AUS,1998,0,1
AUS,1999,0,1
AUS,2000,1,2
AUS,2001,0,2
AUS,2002,0,2
AUS,2003,1,3
AUS,2004,0,3
AUS,2005,0,3
AUS,2006,0,3
AUS,2007,1,4
AUS,2008,1,5
AUS,2009,3,8
AUS,2010,2,10
AUS,2011,4,14
AUS,2012,2,16
AUS,2013,0,16
AUS,2014,0,16
AUS,2015,3,19
AUS,2016,0,19
AUS,2017,4,23
AUS,2018,6,29
AUS,2019,5,34
AUS,2020,2,36
AUS,2021,8,44
AUS,2022,6,50
AUS,2023,20,70
AUS,2024,29,99
AUS,2025,21,120
AUS,2026,0,120
AUT,1993,1,1
AUT,1994,0,1
AUT,1995,0,1
AUT,1996,0,1
AUT,1997,0,1
AUT,1998,0,1
AUT,1999,0,1
AUT,2000,1,2
AUT,2001,0,2
AUT,2002,0,2
AUT,2003,0,2
AUT,2004,0,2
AUT,2005,0,2
AUT,2006,0,2
AUT,2007,1,3
AUT,2008,0,3
AUT,2009,1,4
AUT,2010,0,4
AUT,2011,4,8
AUT,2012,0,8
AUT,2013,0,8
AUT,2014,1,9
AUT,2015,1,10
AUT,2016,0,10
AUT,2017,2,12
AUT,2018,0,12
AUT,2019,3,15
AUT,2020,2,17
AUT,2021,3,20
AUT,2022,4,24
AUT,2023,2,26
AUT,2024,1,27
AUT,2025,0,27
AUT,2026,0,27
AZE,2003,1,1
AZE,2004,0,1
AZE,2005,1,2
AZE,2006,0,2
AZE,2007,0,2
AZE,2008,1,3
AZE,2009,0,3
AZE,2010,0,3
AZE,2011,0,3
AZE,2012,2,5
AZE,2013,1,6
AZE,2014,2,8
AZE,2015,0,8
AZE,2016,1,9
AZE,2017,0,9
AZE,2018,2,11
AZE,2019,0,11
AZE,2020,1,12
AZE,2021,4,16
AZE,2022,2,18
AZE,2023,4,22
AZE,2024,5,27
AZE,2025,0,27
AZE,2026,0,27
BDI,2009,1,1
BDI,2010,0,1
BDI,2011,3,4
BDI,2012,1,5
BDI,2013,2,7
BDI,2014,0,7
BDI,2015,1,8
BDI,2016,0,8
BDI,2017,0,8
BDI,2018,2,10
BDI,2019,1,11
BDI,2020,0,11
BDI,2021,0,11
BDI,2022,0,11
BDI,2023,0,11
BDI,2024,0,11
BDI,2025,0,11
BDI,2026,0,11
BEL,1997,2,2
BEL,1998,0,2
BEL,1999,1,3
BEL,2000,0,3
BEL,2001,0,3
BEL,2002,1,4
BEL,2003,1,5
BEL,2004,0,5
BEL,2005,1,6
BEL,2006,1,7
BEL,2007,0,7
BEL,2008,0,7
BEL,2009,0,7
BEL,2010,1,8
BEL,2011,0,8
BEL,2012,0,8
BEL,2013,1,9
BEL,2014,1,10
BEL,2015,0,10
BEL,2016,1,11
BEL,2017,0,11
BEL,2018,1,12
BEL,2019,2,14
BEL,2020,0,14
BEL,2021,2,16
BEL,2022,0,16
BEL,2023,1,17
BEL,2024,1,18
BEL,2025,0,18
BEL,2026,0,18
BEN,2003,1,1
BEN,2004,0,1
BEN,2005,1,2
BEN,2006,0,2
BEN,2007,0,2
BEN,2008,0,2
BEN,2009,0,2
BEN,2010,0,2
BEN,2011,0,2
BEN,2012,0,2
BEN,2013,1,3
BEN,2014,0,3
BEN,2015,0,3
BEN,2016,1,4
BEN,2017,0,4
BEN,2018,2,6
BEN,2019,0,6
BEN,2020,0,6
BEN,2021,1,7
BEN,2022,3,10
BEN,2023,0,10
BEN,2024,0,10
BEN,2025,0,10
BEN,2026,0,10
BFA,2007,1,1
BFA,2008,1,2
BFA,2009,0,2
BFA,2010,0,2
BFA,2011,1,3
BFA,2012,1,4
BFA,2013,6,10
BFA,2014,3,13
BFA,2015,5,18
BFA,2016,1,19
BFA,2017,0,19
BFA,2018,4,23
BFA,2019,0,23
BFA,2020,0,23
BFA,2021,1,24
BFA,2022,0,24
BFA,2023,2,26
BFA,2024,4,30
BFA,2025,1,31
BFA,2026,0,31
BGD,2003,1,1
BGD,2004,0,1
BGD,2005,0,1
BGD,2006,0,1
BGD,2007,0,1
BGD,2008,1,2
BGD,2009,1,3
BGD,2010,1,4
BGD,2011,1,5
BGD,2012,2,7
BGD,2013,4,11
BGD,2014,1,12
BGD,2015,1,13
BGD,2016,0,13
BGD,2017,1,14
BGD,2018,5,19
BGD,2019,1,20
BGD,2020,2,22
