iso3,concept_id,category,computed_score,n_present,n_absent_penalty_relevant,f,floor_low,floor_sd,floor,penalty_w,penalty_regime,penalized_score,relevance,measurement_quality,effective_weight,weighted_contribution,low_confidence
AFG,1,Political foundations,0.1191675272205424,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.1191675272205424,1.0,1.0,1.0,0.1191675272205424,False
AGO,1,Political foundations,0.3384347018872675,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.3384347018872675,1.0,1.0,1.0,0.3384347018872675,False
ALB,1,Political foundations,0.5319313721912494,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5319313721912494,1.0,1.0,1.0,0.5319313721912494,False
ARE,1,Political foundations,0.4134428956012346,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4134428956012346,1.0,1.0,1.0,0.4134428956012346,False
ARG,1,Political foundations,0.6267690773490284,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6267690773490284,1.0,1.0,1.0,0.6267690773490284,False
ARM,1,Political foundations,0.5765241150198546,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5765241150198546,1.0,1.0,1.0,0.5765241150198546,False
ATG,1,Political foundations,0.680477617411777,3,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.680477617411777,1.0,1.0,1.0,0.680477617411777,True
AUS,1,Political foundations,0.6875349031488328,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6875349031488328,1.0,1.0,1.0,0.6875349031488328,False
AUT,1,Political foundations,0.6673820672022219,6,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6673820672022219,1.0,1.0,1.0,0.6673820672022219,False
AZE,1,Political foundations,0.284289950658694,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.284289950658694,1.0,1.0,1.0,0.284289950658694,False
BDI,1,Political foundations,0.3614148120235354,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.3614148120235354,1.0,1.0,1.0,0.3614148120235354,False
BEL,1,Political foundations,0.6959775022046634,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6959775022046634,1.0,1.0,1.0,0.6959775022046634,False
BEN,1,Political foundations,0.5784067614539811,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5784067614539811,1.0,1.0,1.0,0.5784067614539811,False
BFA,1,Political foundations,0.5087477763758397,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5087477763758397,1.0,1.0,1.0,0.5087477763758397,False
BGD,1,Political foundations,0.3423755428218418,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.3423755428218418,1.0,1.0,1.0,0.3423755428218418,False
BGR,1,Political foundations,0.5800730733884232,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5800730733884232,1.0,1.0,1.0,0.5800730733884232,False
BHR,1,Political foundations,0.2582906839465766,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.2582906839465766,1.0,1.0,1.0,0.2582906839465766,False
BHS,1,Political foundations,0.7043081345170108,3,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.7043081345170108,1.0,1.0,1.0,0.7043081345170108,True
BIH,1,Political foundations,0.4728515222713143,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4728515222713143,1.0,1.0,1.0,0.4728515222713143,False
BLR,1,Political foundations,0.4595955517053427,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4595955517053427,1.0,1.0,1.0,0.4595955517053427,False
BLZ,1,Political foundations,0.616881611231822,3,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.616881611231822,1.0,1.0,1.0,0.616881611231822,True
BOL,1,Political foundations,0.510410135044833,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.510410135044833,1.0,1.0,1.0,0.510410135044833,False
BRA,1,Political foundations,0.5335011032364163,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5335011032364163,1.0,1.0,1.0,0.5335011032364163,False
BRB,1,Political foundations,0.6564806367322537,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.6564806367322537,1.0,1.0,1.0,0.6564806367322537,False
BRN,1,Political foundations,0.4172128654044588,3,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.4172128654044588,1.0,1.0,1.0,0.4172128654044588,True
BTN,1,Political foundations,0.5082965433644704,7,0,1.0,0.1191675272205424,0.13975264893651285,0.0,0.0,none,0.5082965433644704,1.0,1.0,1.0,0.5082965433644704,False
