iso3,C1_score,C2_score,C3_score,C4_score,C5_score,C6_score,C8_score,C9_score,C10_score,C11_score,C12_score,C13_score,C14_score,C15_score,C16_score,C17_score,C18_score,C19_score,C20_score,C21_score,C22_score,C23_score,C24_score,C25_score,C1_lowconf,C2_lowconf,C3_lowconf,C4_lowconf,C5_lowconf,C6_lowconf,C8_lowconf,C9_lowconf,C10_lowconf,C11_lowconf,C12_lowconf,C13_lowconf,C14_lowconf,C15_lowconf,C16_lowconf,C17_lowconf,C18_lowconf,C19_lowconf,C20_lowconf,C21_lowconf,C22_lowconf,C23_lowconf,C24_lowconf,C25_lowconf
ABW,,0.5903148155673088,0.3184732222372275,0.6089872084160914,0.6487701654548351,0.6668974330253382,0.4000198719087415,0.6582537134585618,,0.4284981605998376,0.17971205655299655,,,,0.5931964573268922,,,,,,,0.503755868544601,,,,False,False,True,False,True,False,False,,True,True,,,,True,,,,,,,True,,
AFG,0.11947710443171389,0.26269205311972504,0.3579851249727442,0.15489657172473809,0.2904409131018581,0.25518988672346804,0.5120917179097942,,0.0192303353706188,0.35058426940957943,0.4287113267067687,0.19359776716116917,0.1353295173608364,0.28124734906406906,0.13371801504857844,0.1932590577947769,0.29291328823645923,0.3469544945222731,0.24467629465709262,0.13683317873078443,0.08555753874475627,0.1179232269303528,0.16096161103158288,0.3353808563925466,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AGO,0.33856675573564027,0.41478581940909187,0.36246749809799383,0.40869636511477225,0.24012878681169605,0.363446829076395,0.5293009309055831,0.3433635177590841,0.2858581454545241,0.3246164196717103,0.4421134514927532,0.5622808351038727,0.4295593339561937,0.3878403469294485,0.4319182661321524,0.2836959311875537,0.4319803299537923,0.2905733420264374,0.35829558615572904,0.3737971897090051,0.4397463472224533,0.3950201501641697,0.3738105859116332,0.4238227463328078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALB,0.5317374003992726,0.4902259804519697,0.5214660339699198,0.503418712921098,0.596106812934647,0.4835873660129758,0.6448624302334799,0.5433261663905541,0.6341296731530309,0.5972918841310685,0.6592452068601821,0.49239425843939516,0.41942088939951294,0.5099172337453796,0.6299940435812903,0.47244119542090646,0.43315678327379137,0.5147928688952492,0.43452680441766633,0.4842809022093566,0.6052969258264782,0.48900325467857947,0.5172448148416423,0.5448172267233542,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND,,0.5993057658027088,0.3754241452270387,0.6958542618824927,0.5861365653571734,0.6880724418945245,0.6495330789589073,0.6209536103932621,,,0.445773334137753,,0.4118572210065645,,0.6073674182814749,,0.7729923913215866,,0.6680355643509511,0.702862581295129,0.6593522359483804,0.5317949108672483,0.6756958212077404,0.5815982092124732,,False,False,True,False,True,False,False,,,True,,True,,True,,True,,True,True,True,True,True,True
ARE,0.41353424394732397,0.6101707745520645,0.5802817479605346,0.6398754256881534,0.674202756301068,0.6597741654600251,0.5768555357984342,0.529864033085582,0.2574114170730586,0.6827315898182217,0.4508399859739623,0.6476584725575362,0.44940717813594866,0.4670775700891374,0.5795038194849279,0.4168582002736859,0.7263071331185387,0.2817882275719822,0.47475880475624344,0.25169735171884994,0.29397046944675137,0.15423426729076267,0.2429834845589556,0.3936410089388666,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARG,0.6265607026818913,0.5515663259623216,0.508602795381968,0.5060308226100647,0.5634490615623418,0.4532595940792589,0.4575555475913631,0.5191981685923661,0.5868791751634781,0.38764552198657615,0.6143754041482947,0.5250744205410952,0.43936953556693986,0.5189994300066882,0.46368606819772695,0.536182122012277,0.4924051963770984,0.5761234993428832,0.6160921277104376,0.49398639283261914,0.5660869099693708,0.5346709319686199,0.518823557540534,0.5317626867491052,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARM,0.5762447935803597,0.47954006531745724,0.5172759795624662,0.46085575399216794,0.6299115088114037,0.5211531108496658,0.65525297009679,0.6604910857768475,0.6215938267476394,0.5460136246207317,0.407110831504944,0.4570108909235732,0.43353109959124253,0.31886541858975564,0.5797698585051635,0.5282971036685091,0.5164803513290507,0.48300014586987877,0.5282023933429693,0.524066324493579,0.5536811542248886,0.5113215897143205,0.5525735076616114,0.5666810708797992,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASM,,0.587065867226459,,0.6281154521952831,0.507586758877817,0.5639964214975984,,,,,0.15636307534325672,,,,0.9913446054750402,,,,,,,0.503755868544601,,,,False,,True,False,True,,,,,True,,,,True,,,,,,,True,,
ATG,0.680477617411777,0.5807041936585358,0.3938689770643784,0.5758024307113282,0.6301363083983885,0.5971522165617548,0.4085429560568332,0.4807026874052068,,0.40409088708997043,0.3929046976067727,0.5464569479158972,0.5941733159890921,0.6078770969512891,0.5006606876348574,0.6118221716935422,0.5939337434307345,,0.6297714130043434,0.6291119059399745,0.5810245421441138,0.5729650891413397,0.6171469022677141,0.5335466356854465,True,False,False,False,False,False,False,False,,False,False,True,False,True,True,True,True,,True,True,False,True,True,False
