concept_id,concept_name,category,multi_placed,category_2,source_id,status
1,Political settlement,Political foundations,False,,VDEM,built
1,Political settlement,Political foundations,False,,FSI,built
1,Political settlement,Political foundations,False,,DPI,built
2,Political stability and regime durability,Political foundations,False,,WGI,built
2,Political stability and regime durability,Political foundations,False,,VDEM,built
2,Political stability and regime durability,Political foundations,False,,POWELL_THYNE,built
2,Political stability and regime durability,Political foundations,False,,UCDP,built
2,Political stability and regime durability,Political foundations,False,,GPI,built
2,Political stability and regime durability,Political foundations,False,,WJP,built
2,Political stability and regime durability,Political foundations,False,,ACLED,outstanding
3,Statistical and informational infrastructure,State capacity,True,Accountability,IMF_SPI,built
3,Statistical and informational infrastructure,State capacity,True,Accountability,ODIN,built
3,Statistical and informational infrastructure,State capacity,True,Accountability,IMF_SPI_SDDS,closed
4,Government effectiveness and administrative quality,State capacity,False,,WGI,built
4,Government effectiveness and administrative quality,State capacity,False,,VDEM,built
5,Service delivery and provision of public goods,State capacity,False,,WDI,built
5,Service delivery and provision of public goods,State capacity,False,,WB_HCI,built
5,Service delivery and provision of public goods,State capacity,False,,FSI,built
5,Service delivery and provision of public goods,State capacity,False,,WHO_GHO,closed
5,Service delivery and provision of public goods,State capacity,False,,UNESCO_UIS,closed
5,Service delivery and provision of public goods,State capacity,False,,UNDP_HDI,closed
6,Regulatory quality,Economic and fiscal governance,True,State capacity,WGI,built
6,Regulatory quality,Economic and fiscal governance,True,State capacity,WJP,built
6,Regulatory quality,Economic and fiscal governance,True,State capacity,FRASER_REG,built
7,Public financial management,Economic and fiscal governance,False,,PEFA,built
7,Public financial management,Economic and fiscal governance,False,,OBS,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,ROMELLI_CBI,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,IMF_FISCAL_RULES,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,IMF_AREAER,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,CHINN_ITO,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,IMF_IMAPP,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,IMF_AREAER_ERREGIME,built
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,DINCER_CB,closed
8,Macroeconomic and financial policy framework,Economic and fiscal governance,False,,REINHART_ROGOFF,closed
9,Financial sector regulatory and supervisory quality,Economic and fiscal governance,False,,FATF,built
9,Financial sector regulatory and supervisory quality,Economic and fiscal governance,False,,WB_BRSS,built
9,Financial sector regulatory and supervisory quality,Economic and fiscal governance,False,,FSAP,outstanding
