iso3,country_name,is_territory,metrics_present
IDN,Indonesia,False,385
VNM,Viet Nam,False,383
GEO,Georgia,False,382
COL,Colombia,False,380
PAK,Pakistan,False,380
IND,India,False,380
KEN,Kenya,False,380
DOM,Dominican Republic,False,379
CRI,Costa Rica,False,379
SLV,El Salvador,False,379
ITA,Italy,False,379
PER,Peru,False,379
FRA,France,False,378
UGA,Uganda,False,378
SWE,Sweden,False,378
JAM,Jamaica,False,378
LVA,Latvia,False,377
THA,Thailand,False,377
MEX,Mexico,False,377
BGR,Bulgaria,False,377
CYP,Cyprus,False,377
AUS,Australia,False,376
ESP,Spain,False,376
POL,Poland,False,376
FIN,Finland,False,376
TZA,Tanzania,False,375
SVK,Slovak Republic,False,375
HRV,Croatia,False,375
HND,Honduras,False,375
ROU,Romania,False,375
GRC,Greece,False,375
DEU,Germany,False,375
GBR,United Kingdom,False,374
RUS,Russian Federation,False,374
EST,Estonia,False,374
LTU,Lithuania,False,374
PRY,Paraguay,False,374
NLD,Netherlands,False,374
MAR,Morocco,False,374
MLT,Malta,False,374
ARG,Argentina,False,374
PRT,Portugal,False,373
DNK,Denmark,False,373
ECU,Ecuador,False,373
NOR,Norway,False,372
URY,Uruguay,False,372
CHL,Chile,False,370
HUN,Hungary,False,370
NZL,New Zealand,False,370
SEN,Senegal,False,369
UKR,Ukraine,False,369
IRL,Ireland,False,369
CZE,Czechia,False,369
ARM,Armenia,False,368
ISR,Israel,False,368
KAZ,Kazakhstan,False,368
JPN,Japan,False,368
BRA,Brazil,False,368
SVN,Slovenia,False,368
LKA,Sri Lanka,False,368
PHL,Philippines,False,367
AGO,Angola,False,367
BEL,Belgium,False,367
NAM,Namibia,False,366
LUX,Luxembourg,False,366
CIV,Cote d'Ivoire,False,366
USA,United States,False,366
TGO,Togo,False,366
LBR,Liberia,False,365
MYS,Malaysia,False,365
MNG,Mongolia,False,365
BWA,Botswana,False,365
SGP,Singapore,False,365
AUT,Austria,False,364
PAN,Panama,False,364
CAN,Canada,False,363
ISL,Iceland,False,363
KHM,Cambodia,False,363
MOZ,Mozambique,False,363
RWA,Rwanda,False,362
NER,Niger,False,362
AZE,Azerbaijan,False,362
MUS,Mauritius,False,362
BEN,Benin,False,361
MDV,Maldives,False,361
ZMB,Zambia,False,361
