iso3,peers
AFG,"YEM,MDG,MOZ,CAF,MWI,NER,BDI,SYR,COD,SLE"
AGO,"CIV,GHA,ZWE,EGY,KEN,COG,IRN,CMR,DJI,SEN"
ALB,"MKD,SRB,BIH,KAZ,GEO,ARM,BLR,MDA,MUS,BGR"
AND,"FIN,CAN,GBR,NZL,ARE,FRA,ISR,DEU,BEL,CYP"
ARE,"ISR,SAU,QAT,NZL,CZE,KWT,FIN,FRA,SVN,BEL"
ARG,"MEX,CHL,DOM,BRA,PER,CRI,PAN,KAZ,TTO,MYS"
ARM,"GEO,BIH,MDA,MKD,BLR,ALB,AZE,SRB,GAB,JAM"
ATG,"LVA,URY,HRV,HUN,GRC,BHR,ROU,SVK,TTO,POL"
AUS,"CAN,NZL,SWE,AUT,BEL,SGP,ISR,NLD,DEU,GBR"
AUT,"SWE,BEL,FIN,NLD,DEU,DNK,GBR,CAN,FRA,NOR"
AZE,"MDA,LBY,BLR,UKR,ARM,GEO,BIH,DZA,PRY,JOR"
BDI,"CAF,MDG,MOZ,AFG,MWI,YEM,NER,SLE,COD,LBR"
BEL,"SWE,AUT,FIN,DEU,GBR,NLD,DNK,CAN,FRA,ISR"
BEN,"GIN,SEN,TGO,CMR,ZMB,TZA,MLI,RWA,BFA,UGA"
BFA,"MLI,RWA,SDN,UGA,TCD,ZMB,GNB,TZA,SYR,LSO"
BGD,"IND,EGY,KHM,LAO,PAK,PNG,KEN,IRN,HTI,PHL"
BGR,"OMN,ROU,HUN,SRB,HRV,SVK,LVA,RUS,KAZ,CRI"
BHR,"KWT,LTU,EST,LVA,SVK,HRV,SAU,SVN,HUN,CZE"
BHS,"CYP,SVN,URY,EST,LTU,CZE,BHR,ESP,KWT,TTO"
BIH,"MKD,GEO,ARM,BLR,MDA,ALB,AZE,SRB,KAZ,DOM"
BLR,"BIH,GEO,MKD,ARM,MDA,AZE,ALB,SRB,KAZ,DOM"
BLZ,"JAM,PRY,ECU,COL,GTM,SLV,BWA,PER,GAB,DOM"
BOL,"SLV,GTM,ECU,PRY,HND,JOR,VEN,LKA,TUN,NIC"
BRA,"PER,DOM,MEX,COL,ARG,ECU,JAM,GTM,BLR,PRY"
BRB,"URY,TTO,PAN,CRI,BHR,LVA,SVK,HRV,EST,LTU"
BRN,"JPN,KOR,BHR,EST,LTU,KWT,NZL,PRT,SVN,LVA"
BTN,"LBN,LKA,TUN,MAR,SWZ,JOR,DJI,PHL,NAM,IDN"
BWA,"GAB,GNQ,LBY,ZAF,JAM,NAM,MDA,MNG,AZE,MUS"
CAF,"MDG,MOZ,MWI,YEM,SLE,NER,LBR,GMB,COD,TCD"
CAN,"GBR,DEU,FIN,FRA,BEL,AUS,SWE,AUT,ITA,NZL"
CHE,"IRL,NOR,DNK,NLD,SGP,AUT,SWE,BEL,USA,FIN"
CHL,"CRI,PAN,ARG,TTO,MEX,URY,DOM,TUR,RUS,OMN"
CHN,"MYS,MEX,ARG,THA,KAZ,BRA,ALB,MUS,RUS,SRB"
