iso3,country_name,pop_year,population,is_territory
ABW,Aruba,2025,108785.0,True
AFG,Afghanistan,2025,43844111.0,False
AGO,Angola,2025,39040039.0,False
ALB,Albania,2025,2349580.0,False
AND,Andorra,2025,82904.0,False
ARE,United Arab Emirates,2025,11513149.0,False
ARG,Argentina,2025,45851378.0,False
ARM,Armenia,2025,3086700.0,False
ASM,American Samoa,2025,46029.0,True
ATG,Antigua and Barbuda,2025,94209.0,False
AUS,Australia,2025,27614411.0,False
AUT,Austria,2025,9208163.0,False
AZE,Azerbaijan,2025,10246996.0,False
BDI,Burundi,2025,14390003.0,False
BEL,Belgium,2025,11941781.0,False
BEN,Benin,2025,14814460.0,False
BFA,Burkina Faso,2025,24074580.0,False
BGD,Bangladesh,2025,175686899.0,False
BGR,Bulgaria,2025,6433302.0,False
BHR,Bahrain,2025,1600366.0,False
BHS,"Bahamas, The",2025,403033.0,False
BIH,Bosnia and Herzegovina,2025,3140095.0,False
BLR,Belarus,2025,9085991.0,False
BLZ,Belize,2025,422924.0,False
BMU,Bermuda,2025,64555.0,True
BOL,Bolivia,2025,12581843.0,False
BRA,Brazil,2025,212812405.0,False
BRB,Barbados,2025,282623.0,False
BRN,Brunei Darussalam,2025,466330.0,False
BTN,Bhutan,2025,796682.0,False
BWA,Botswana,2025,2562122.0,False
CAF,Central African Republic,2025,5513282.0,False
CAN,Canada,2025,41651653.0,False
CHE,Switzerland,2025,9092436.0,False
CHL,Chile,2025,19859921.0,False
CHN,China,2025,1406585000.0,False
CIV,Cote d'Ivoire,2025,32711547.0,False
CMR,Cameroon,2025,29879337.0,False
COD,"Congo, Dem. Rep.",2025,112832473.0,False
COG,"Congo, Rep.",2025,6484437.0,False
COL,Colombia,2025,53425635.0,False
COM,Comoros,2025,882847.0,False
CPV,Cabo Verde,2025,527326.0,False
CRI,Costa Rica,2025,5152950.0,False
CUB,Cuba,2025,10937203.0,False
CUW,Curacao,2025,156263.0,True
CYM,Cayman Islands,2025,75844.0,True
CYP,Cyprus,2025,1370754.0,False
CZE,Czechia,2025,10886878.0,False
DEU,Germany,2025,83491249.0,False
DJI,Djibouti,2025,1184076.0,False
DMA,Dominica,2025,65871.0,False
DNK,Denmark,2025,6009169.0,False
DOM,Dominican Republic,2025,11520487.0,False
DZA,Algeria,2025,47435312.0,False
ECU,Ecuador,2025,18289896.0,False
EGY,"Egypt, Arab Rep.",2025,118365995.0,False
ESP,Spain,2025,49355143.0,False
EST,Estonia,2025,1366475.0,False
ETH,Ethiopia,2025,135472051.0,False
FIN,Finland,2025,5646436.0,False
FJI,Fiji,2025,933154.0,False
FRA,France,2025,68720337.0,False
FRO,Faroe Islands,2025,54900.0,True
FSM,"Micronesia, Fed. Sts.",2025,113683.0,False
GAB,Gabon,2025,2593130.0,False
GBR,United Kingdom,2025,69487000.0,False
GEO,Georgia,2025,3935766.0,False
GHA,Ghana,2025,35064272.0,False
GIB,Gibraltar,2025,40126.0,True
GIN,Guinea,2025,15099727.0,False
GMB,"Gambia, The",2025,2822093.0,False
GNB,Guinea-Bissau,2025,2249515.0,False
GNQ,Equatorial Guinea,2025,1938431.0,False
GRC,Greece,2025,10413962.0,False
GRD,Grenada,2025,117303.0,False
GRL,Greenland,2025,56831.0,True
GTM,Guatemala,2025,18687881.0,False
GUM,Guam,2025,168999.0,True
GUY,Guyana,2025,835986.0,False
HKG,"Hong Kong SAR, China",2025,7498900.0,True
HND,Honduras,2025,11005850.0,False
HRV,Croatia,2025,3876200.0,False
HTI,Haiti,2025,11906095.0,False
HUN,Hungary,2025,9514251.0,False
IDN,Indonesia,2025,285721236.0,False
IMN,Isle of Man,2025,84118.0,True
