country_code_epi,country_code,country_name,epi_epi,epi_cch,epi_eco,epi_hlt,epi_bdh,epi_agr,epi_fsh,epi_wrs,year,epi_mkp,epi_mpe,epi_mhp
4,AFG,Afghanistan,43.6,65.6,36.9,16.0,30.7,44.2,,0.0,2022,,,
4,AFG,Afghanistan,31.0,40.2,31.9,18.2,31.7,41.1,,11.2,2024,,,
8,ALB,Albania,47.1,52.5,45.5,40.0,63.9,28.9,17.3,1.9,2022,,,
8,ALB,Albania,52.2,59.4,51.9,44.1,50.3,50.4,15.8,39.6,2024,25.5,96.7,24.4
12,DZA,Algeria,29.6,20.9,31.6,42.0,22.7,63.3,18.5,33.1,2022,,,
12,DZA,Algeria,41.7,36.2,41.8,48.2,33.0,46.7,51.6,55.7,2024,0.0,100.0,0.0
24,AGO,Angola,30.5,37.7,28.6,20.5,30.1,24.9,24.3,0.0,2022,,,
24,AGO,Angola,40.1,49.4,44.1,21.8,41.5,41.0,37.6,15.8,2024,0.0,,0.0
28,ATG,Antigua and Barbuda,52.4,60.2,43.6,55.8,54.2,5.1,19.7,15.7,2022,,,
28,ATG,Antigua and Barbuda,55.6,46.4,53.2,69.6,52.5,31.4,97.3,48.3,2024,74.7,88.5,33.1
32,ARG,Argentina,41.1,35.5,38.9,56.3,42.4,74.1,5.8,5.9,2022,,,
32,ARG,Argentina,47.0,41.4,46.7,54.3,34.7,81.4,38.5,46.8,2024,17.1,89.1,33.0
51,ARM,Armenia,48.3,41.4,58.1,40.7,73.3,45.5,,4.5,2022,,,
51,ARM,Armenia,44.9,42.8,48.1,41.8,47.6,35.5,,34.0,2024,,,
36,AUS,Australia,60.1,43.8,62.3,86.4,82.1,67.9,14.6,92.9,2022,,,
36,AUS,Australia,63.1,46.6,62.5,84.0,55.2,65.3,48.1,87.2,2024,57.2,57.2,42.5
40,AUT,Austria,66.5,50.3,73.9,81.7,86.0,70.6,,94.0,2022,,,
40,AUT,Austria,68.9,54.1,77.6,71.0,74.3,72.5,,87.3,2024,,,
31,AZE,Azerbaijan,38.6,36.4,44.4,30.7,46.2,51.4,,3.9,2022,,,
31,AZE,Azerbaijan,40.5,34.7,44.7,40.4,36.7,63.0,,29.7,2024,0.8,50.0,20.0
