iso3,Accountability,Economic and fiscal governance,Political foundations,Rule of law,State capacity
ABW,0.503755868544601,0.49726623993554936,0.5903148155673088,0.5962844586496204,0.5254101987027181
AFG,0.20485891204006781,0.2940185653072798,0.1909297901701337,0.2073532052741764,0.2515127703103111
AGO,0.38001244459983036,0.38316446999062603,0.37661026064817965,0.3932742282610664,0.39331324528457523
ALB,0.5135425688739405,0.5894154119264,0.5110786763216095,0.49342777336911003,0.5295709540147703
AND,0.6365565538136538,0.6234484294514631,0.5993057658027088,0.5980222075644428,0.5524716574889016
ARE,0.2998707650234885,0.5089854980573283,0.5118068350766496,0.5280429414763341,0.6355924261668476
ARG,0.5489624351272903,0.5030156441376602,0.589167701655675,0.49057120322537545,0.5270089965423765
ARM,0.5320826946069042,0.5834208640099598,0.5280320901686559,0.47617549050591246,0.5176799153454351
ASM,0.503755868544601,0.42812685582830645,0.587065867226459,0.991410307630843,0.56785110553655
ATG,0.5939277480304886,0.47059412067860623,0.6305909055351564,0.5820667876067233,0.5365661660224981
AUS,0.6631448209714007,0.6443462062986727,0.6514473467991707,0.7207850003132268,0.6853177767088344
AUT,0.6396534747108041,0.6535391116360925,0.6425130489441325,0.7032853905915755,0.6683408120893707
AZE,0.2573050582584131,0.44594214343599436,0.422339278847021,0.3237270695611387,0.4874438018953249
BDI,0.2855894664250772,0.3836061383250374,0.3760338556700592,0.33756244247475686,0.3698167629773903
BEL,0.6782410912352634,0.687605264926486,0.6437915373225158,0.7094090894825473,0.6570925867398426
BEN,0.47056292226268664,0.49891596989732284,0.44347007559675666,0.5205319938034348,0.4443659304502442
BFA,0.36034803410953675,0.4398354328647376,0.30531886326350405,0.4288458403595719,0.39423042575202966
BGD,0.39073825928685774,0.4387796777449415,0.30380355720421204,0.4019859036765503,0.4538246132277858
BGR,0.5718990749663989,0.5723423253205909,0.5807246431710977,0.5148424163775123,0.5690946432742995
BHR,0.2871352028589148,0.49255151348393406,0.406716921119823,0.48759506692318483,0.47554649898989704
BHS,0.594192943587816,0.4662048611867268,0.6372285439914007,0.4823829400742257,0.4970205120451935
BIH,0.4882644537212914,0.4908598797036893,0.4729160396102743,0.5144717660788138,0.4430347033131495
BLR,0.23815488770763857,0.4022299036930037,0.4655797674123827,0.38208268775397747,0.5187576556533339
BLZ,0.5832820167355447,0.42437996151672674,0.5878239394905516,0.4631719426009961,0.44583655565908836
BMU,0.503755868544601,0.46144781107816824,0.5752009693809541,0.3282061526168598,0.6693540042990729
BOL,0.5192027667624485,0.43928226960779293,0.4464841488573392,0.3799521727714736,0.4633739931433528
BRA,0.6210106491292603,0.557820680911622,0.5274265356935585,0.48327672534949695,0.5156274855442841
BRB,0.5885740916808185,0.4077384800541522,0.6059492289014113,0.5985447535375701,0.5289157196115901
BRN,0.32676575847291045,0.5488682617443352,0.5010805882655625,0.6655296208365717,0.5784553955926737
BTN,0.5404316776395512,0.443640264728659,0.5224388678016356,0.5538348495074493,0.505929160319082
BWA,0.5320423554013324,0.5062461576324796,0.5658027055228964,0.5628991997517006,0.5440114241255597
CAF,0.3124101618843397,0.393143575509868,0.3409151369802017,0.285926295541674,0.24301454803200837
CAN,0.6481374221353516,0.6127314129151652,0.6004261040021163,0.6734938324944857,0.6613091248100964
CHE,0.69299367938821,0.7125669857997035,0.6822005338218313,0.7407449384250274,0.6708748074966849
CHL,0.6594841994306241,0.6255180565813049,0.5742843576029224,0.6034200805639303,0.58926727693414
CHN,0.2604125404736897,0.43551887272662837,0.420540590008137,0.3791422657897422,0.5046479981137796
CIV,0.45876517337971773,0.47262742239014804,0.43382346660063925,0.4376538378977591,0.41670330555753266
CMR,0.32407660390868076,0.4246649791267827,0.3555495437483265,0.3536792895967493,0.386404700302202
