country_code,country_name,year,imapp_breadth_total,imapp_breadth_borrower_based,imapp_breadth_capital_based,imapp_breadth_liquidity_funding,imapp_breadth_provision_reserve_tax
ALB,Albania,1990,0,0,0,0,0
ALB,Albania,1991,0,0,0,0,0
ALB,Albania,1992,0,0,0,0,0
ALB,Albania,1993,0,0,0,0,0
ALB,Albania,1994,0,0,0,0,0
ALB,Albania,1995,0,0,0,0,0
ALB,Albania,1996,0,0,0,0,0
ALB,Albania,1997,0,0,0,0,0
ALB,Albania,1998,0,0,0,0,0
ALB,Albania,1999,0,0,0,0,0
ALB,Albania,2000,0,0,0,0,0
ALB,Albania,2001,0,0,0,0,0
ALB,Albania,2002,0,0,0,0,0
ALB,Albania,2003,0,0,0,0,0
ALB,Albania,2004,0,0,0,0,0
ALB,Albania,2005,0,0,0,0,0
ALB,Albania,2006,0,0,0,0,0
ALB,Albania,2007,0,0,0,0,0
ALB,Albania,2008,0,0,0,0,0
ALB,Albania,2009,1,0,0,1,0
ALB,Albania,2010,2,0,0,2,0
ALB,Albania,2011,3,0,0,3,0
ALB,Albania,2012,3,0,0,3,0
ALB,Albania,2013,3,0,0,3,0
ALB,Albania,2014,4,0,1,3,0
ALB,Albania,2015,4,0,1,3,0
ALB,Albania,2016,4,0,1,3,0
ALB,Albania,2017,4,0,1,3,0
ALB,Albania,2018,5,0,1,3,1
ALB,Albania,2019,7,0,3,3,1
ALB,Albania,2020,7,0,3,3,1
ALB,Albania,2021,7,0,3,3,1
ALB,Albania,2022,8,0,4,3,1
ALB,Albania,2023,8,0,4,3,1
ALB,Albania,2024,8,0,4,3,1
DZA,Algeria,1990,0,0,0,0,0
DZA,Algeria,1991,0,0,0,0,0
DZA,Algeria,1992,0,0,0,0,0
DZA,Algeria,1993,0,0,0,0,0
DZA,Algeria,1994,0,0,0,0,0
DZA,Algeria,1995,1,0,0,1,0
DZA,Algeria,1996,1,0,0,1,0
DZA,Algeria,1997,1,0,0,1,0
DZA,Algeria,1998,1,0,0,1,0
DZA,Algeria,1999,1,0,0,1,0
DZA,Algeria,2000,1,0,0,1,0
DZA,Algeria,2001,1,0,0,1,0
DZA,Algeria,2002,1,0,0,1,0
DZA,Algeria,2003,1,0,0,1,0
DZA,Algeria,2004,1,0,0,1,0
DZA,Algeria,2005,1,0,0,1,0
DZA,Algeria,2006,1,0,0,1,0
DZA,Algeria,2007,2,1,0,1,0
DZA,Algeria,2008,3,2,0,1,0
DZA,Algeria,2009,3,2,0,1,0
DZA,Algeria,2010,3,2,0,1,0
DZA,Algeria,2011,4,2,0,2,0
DZA,Algeria,2012,4,2,0,2,0
DZA,Algeria,2013,4,2,0,2,0
DZA,Algeria,2014,5,2,1,2,0
DZA,Algeria,2015,5,2,1,2,0
DZA,Algeria,2016,5,2,1,2,0
DZA,Algeria,2017,5,2,1,2,0
DZA,Algeria,2018,5,2,1,2,0
DZA,Algeria,2019,5,2,1,2,0
DZA,Algeria,2020,5,2,1,2,0
DZA,Algeria,2021,5,2,1,2,0
DZA,Algeria,2022,5,2,1,2,0
DZA,Algeria,2023,5,2,1,2,0
DZA,Algeria,2024,5,2,1,2,0
AGO,Angola,1990,0,0,0,0,0
AGO,Angola,1991,0,0,0,0,0
AGO,Angola,1992,0,0,0,0,0
AGO,Angola,1993,0,0,0,0,0
AGO,Angola,1994,0,0,0,0,0
AGO,Angola,1995,0,0,0,0,0
AGO,Angola,1996,0,0,0,0,0
AGO,Angola,1997,0,0,0,0,0
AGO,Angola,1998,0,0,0,0,0
AGO,Angola,1999,0,0,0,0,0
AGO,Angola,2000,0,0,0,0,0
AGO,Angola,2001,0,0,0,0,0
AGO,Angola,2002,0,0,0,0,0
AGO,Angola,2003,1,0,0,1,0
AGO,Angola,2004,1,0,0,1,0
AGO,Angola,2005,1,0,0,1,0
AGO,Angola,2006,1,0,0,1,0
AGO,Angola,2007,1,0,0,1,0
AGO,Angola,2008,1,0,0,1,0
AGO,Angola,2009,2,0,0,2,0
AGO,Angola,2010,2,0,0,2,0
AGO,Angola,2011,2,0,0,2,0
AGO,Angola,2012,2,0,0,2,0
AGO,Angola,2013,2,0,0,2,0
AGO,Angola,2014,3,1,0,2,0
AGO,Angola,2015,3,1,0,2,0
AGO,Angola,2016,4,1,0,3,0
AGO,Angola,2017,4,1,0,3,0
AGO,Angola,2018,5,1,0,3,1
AGO,Angola,2019,5,1,0,3,1
AGO,Angola,2020,5,1,0,3,1
AGO,Angola,2021,8,1,3,3,1
AGO,Angola,2022,8,1,3,3,1
AGO,Angola,2023,8,1,3,3,1
AGO,Angola,2024,8,1,3,3,1
ARG,Argentina,1990,0,0,0,0,0
ARG,Argentina,1991,0,0,0,0,0
ARG,Argentina,1992,0,0,0,0,0
ARG,Argentina,1993,0,0,0,0,0
ARG,Argentina,1994,0,0,0,0,0
ARG,Argentina,1995,0,0,0,0,0
ARG,Argentina,1996,0,0,0,0,0
ARG,Argentina,1997,0,0,0,0,0
ARG,Argentina,1998,0,0,0,0,0
ARG,Argentina,1999,0,0,0,0,0
ARG,Argentina,2000,0,0,0,0,0
ARG,Argentina,2001,0,0,0,0,0
ARG,Argentina,2002,0,0,0,0,0
ARG,Argentina,2003,3,0,1,1,1
ARG,Argentina,2004,3,0,1,1,1
ARG,Argentina,2005,4,0,1,2,1
ARG,Argentina,2006,4,0,1,2,1
ARG,Argentina,2007,4,0,1,2,1
ARG,Argentina,2008,4,0,1,2,1
ARG,Argentina,2009,4,0,1,2,1
ARG,Argentina,2010,5,0,2,2,1
ARG,Argentina,2011,5,0,2,2,1
ARG,Argentina,2012,5,0,2,2,1
ARG,Argentina,2013,5,0,2,2,1
ARG,Argentina,2014,5,0,2,2,1
ARG,Argentina,2015,6,0,2,3,1
ARG,Argentina,2016,7,0,3,3,1
ARG,Argentina,2017,7,0,3,3,1
ARG,Argentina,2018,8,0,4,3,1
ARG,Argentina,2019,8,0,4,3,1
ARG,Argentina,2020,9,0,4,3,2
ARG,Argentina,2021,9,0,4,3,2
ARG,Argentina,2022,9,0,4,3,2
ARG,Argentina,2023,9,0,4,3,2
ARG,Argentina,2024,9,0,4,3,2
ARM,Armenia,1990,0,0,0,0,0
ARM,Armenia,1991,0,0,0,0,0
ARM,Armenia,1992,0,0,0,0,0
ARM,Armenia,1993,0,0,0,0,0
ARM,Armenia,1994,1,0,0,0,1
ARM,Armenia,1995,1,0,0,0,1
ARM,Armenia,1996,2,0,0,1,1
ARM,Armenia,1997,2,0,0,1,1
ARM,Armenia,1998,2,0,0,1,1
ARM,Armenia,1999,2,0,0,1,1
ARM,Armenia,2000,2,0,0,1,1
ARM,Armenia,2001,3,1,0,1,1
ARM,Armenia,2002,3,1,0,1,1
ARM,Armenia,2003,3,1,0,1,1
ARM,Armenia,2004,3,1,0,1,1
ARM,Armenia,2005,3,1,0,1,1
ARM,Armenia,2006,3,1,0,1,1
ARM,Armenia,2007,4,1,0,2,1
ARM,Armenia,2008,5,1,1,2,1
ARM,Armenia,2009,5,1,1,2,1
ARM,Armenia,2010,5,1,1,2,1
ARM,Armenia,2011,5,1,1,2,1
ARM,Armenia,2012,5,1,1,2,1
ARM,Armenia,2013,5,1,1,2,1
ARM,Armenia,2014,5,1,1,2,1
ARM,Armenia,2015,5,1,1,2,1
ARM,Armenia,2016,5,1,1,2,1
ARM,Armenia,2017,5,1,1,2,1
ARM,Armenia,2018,5,1,1,2,1
ARM,Armenia,2019,5,1,1,2,1
ARM,Armenia,2020,7,1,3,2,1
ARM,Armenia,2021,7,1,3,2,1
ARM,Armenia,2022,8,2,3,2,1
ARM,Armenia,2023,10,3,4,2,1
ARM,Armenia,2024,10,3,4,2,1
AUS,Australia,1990,0,0,0,0,0
AUS,Australia,1991,0,0,0,0,0
AUS,Australia,1992,0,0,0,0,0
AUS,Australia,1993,0,0,0,0,0
AUS,Australia,1994,0,0,0,0,0
AUS,Australia,1995,0,0,0,0,0
AUS,Australia,1996,0,0,0,0,0
AUS,Australia,1997,0,0,0,0,0
AUS,Australia,1998,1,0,1,0,0
AUS,Australia,1999,1,0,1,0,0
AUS,Australia,2000,1,0,1,0,0
AUS,Australia,2001,1,0,1,0,0
AUS,Australia,2002,1,0,1,0,0
AUS,Australia,2003,1,0,1,0,0
AUS,Australia,2004,1,0,1,0,0
AUS,Australia,2005,1,0,1,0,0
AUS,Australia,2006,1,0,1,0,0
AUS,Australia,2007,1,0,1,0,0
AUS,Australia,2008,1,0,1,0,0
AUS,Australia,2009,1,0,1,0,0
AUS,Australia,2010,1,0,1,0,0
AUS,Australia,2011,1,0,1,0,0
AUS,Australia,2012,1,0,1,0,0
AUS,Australia,2013,1,0,1,0,0
AUS,Australia,2014,2,1,1,0,0
AUS,Australia,2015,5,2,1,1,1
AUS,Australia,2016,7,2,3,1,1
AUS,Australia,2017,7,2,3,1,1
AUS,Australia,2018,7,2,3,1,1
AUS,Australia,2019,7,2,3,1,1
AUS,Australia,2020,8,2,4,1,1
AUS,Australia,2021,8,2,4,1,1
AUS,Australia,2022,9,2,4,1,2
AUS,Australia,2023,10,2,5,1,2
AUS,Australia,2024,10,2,5,1,2
AUT,Austria,1990,0,0,0,0,0
AUT,Austria,1991,0,0,0,0,0
AUT,Austria,1992,0,0,0,0,0
AUT,Austria,1993,0,0,0,0,0
AUT,Austria,1994,0,0,0,0,0
AUT,Austria,1995,0,0,0,0,0
AUT,Austria,1996,0,0,0,0,0
AUT,Austria,1997,0,0,0,0,0
AUT,Austria,1998,0,0,0,0,0
AUT,Austria,1999,1,0,0,0,1
AUT,Austria,2000,1,0,0,0,1
AUT,Austria,2001,1,0,0,0,1
AUT,Austria,2002,1,0,0,0,1
AUT,Austria,2003,2,0,0,1,1
AUT,Austria,2004,2,0,0,1,1
AUT,Austria,2005,2,0,0,1,1
AUT,Austria,2006,2,0,0,1,1
AUT,Austria,2007,2,0,0,1,1
AUT,Austria,2008,2,0,0,1,1
AUT,Austria,2009,2,0,0,1,1
AUT,Austria,2010,2,0,0,1,1
AUT,Austria,2011,2,0,0,1,1
AUT,Austria,2012,2,0,0,1,1
AUT,Austria,2013,2,0,0,1,1
AUT,Austria,2014,2,0,0,1,1
AUT,Austria,2015,3,0,0,2,1
AUT,Austria,2016,6,0,3,2,1
AUT,Austria,2017,6,0,3,2,1
AUT,Austria,2018,7,0,3,2,2
AUT,Austria,2019,7,0,3,2,2
AUT,Austria,2020,7,0,3,2,2
AUT,Austria,2021,8,0,4,2,2
AUT,Austria,2022,11,3,4,2,2
AUT,Austria,2023,11,3,4,2,2
AUT,Austria,2024,11,3,4,2,2
AZE,Azerbaijan,1990,0,0,0,0,0
AZE,Azerbaijan,1991,0,0,0,0,0
AZE,Azerbaijan,1992,0,0,0,0,0
AZE,Azerbaijan,1993,0,0,0,0,0
AZE,Azerbaijan,1994,0,0,0,0,0
AZE,Azerbaijan,1995,0,0,0,0,0
AZE,Azerbaijan,1996,1,0,0,1,0
AZE,Azerbaijan,1997,1,0,0,1,0
AZE,Azerbaijan,1998,1,0,0,1,0
AZE,Azerbaijan,1999,1,0,0,1,0
AZE,Azerbaijan,2000,1,0,0,1,0
AZE,Azerbaijan,2001,1,0,0,1,0
AZE,Azerbaijan,2002,1,0,0,1,0
AZE,Azerbaijan,2003,1,0,0,1,0
AZE,Azerbaijan,2004,1,0,0,1,0
AZE,Azerbaijan,2005,2,0,0,1,1
AZE,Azerbaijan,2006,2,0,0,1,1
AZE,Azerbaijan,2007,2,0,0,1,1
AZE,Azerbaijan,2008,2,0,0,1,1
AZE,Azerbaijan,2009,2,0,0,1,1
AZE,Azerbaijan,2010,4,0,1,2,1
AZE,Azerbaijan,2011,4,0,1,2,1
AZE,Azerbaijan,2012,4,0,1,2,1
AZE,Azerbaijan,2013,4,0,1,2,1
AZE,Azerbaijan,2014,4,0,1,2,1
AZE,Azerbaijan,2015,4,0,1,2,1
AZE,Azerbaijan,2016,4,0,1,2,1
AZE,Azerbaijan,2017,4,0,1,2,1
AZE,Azerbaijan,2018,4,0,1,2,1
AZE,Azerbaijan,2019,5,1,1,2,1
AZE,Azerbaijan,2020,7,1,3,2,1
AZE,Azerbaijan,2021,8,1,4,2,1
AZE,Azerbaijan,2022,11,3,4,3,1
AZE,Azerbaijan,2023,11,3,4,3,1
AZE,Azerbaijan,2024,11,3,4,3,1
BHS,Bahamas,1990,1,1,0,0,0
BHS,Bahamas,1991,1,1,0,0,0
BHS,Bahamas,1992,1,1,0,0,0
BHS,Bahamas,1993,1,1,0,0,0
BHS,Bahamas,1994,1,1,0,0,0
BHS,Bahamas,1995,1,1,0,0,0
BHS,Bahamas,1996,1,1,0,0,0
BHS,Bahamas,1997,1,1,0,0,0
BHS,Bahamas,1998,1,1,0,0,0
BHS,Bahamas,1999,1,1,0,0,0
BHS,Bahamas,2000,1,1,0,0,0
BHS,Bahamas,2001,1,1,0,0,0
BHS,Bahamas,2002,1,1,0,0,0
BHS,Bahamas,2003,1,1,0,0,0
BHS,Bahamas,2004,2,2,0,0,0
BHS,Bahamas,2005,3,2,0,1,0
BHS,Bahamas,2006,3,2,0,1,0
BHS,Bahamas,2007,3,2,0,1,0
BHS,Bahamas,2008,3,2,0,1,0
BHS,Bahamas,2009,3,2,0,1,0
BHS,Bahamas,2010,3,2,0,1,0
BHS,Bahamas,2011,3,2,0,1,0
BHS,Bahamas,2012,4,2,0,2,0
BHS,Bahamas,2013,4,2,0,2,0
BHS,Bahamas,2014,4,2,0,2,0
BHS,Bahamas,2015,4,2,0,2,0
BHS,Bahamas,2016,4,2,0,2,0
BHS,Bahamas,2017,4,2,0,2,0
BHS,Bahamas,2018,5,2,0,2,1
BHS,Bahamas,2019,5,2,0,2,1
BHS,Bahamas,2020,5,2,0,2,1
BHS,Bahamas,2021,5,2,0,2,1
BHS,Bahamas,2022,9,2,4,2,1
BHS,Bahamas,2023,9,2,4,2,1
BHS,Bahamas,2024,9,2,4,2,1
BHR,Bahrain,1990,1,0,0,0,1
BHR,Bahrain,1991,1,0,0,0,1
BHR,Bahrain,1992,1,0,0,0,1
BHR,Bahrain,1993,1,0,0,0,1
BHR,Bahrain,1994,1,0,0,0,1
BHR,Bahrain,1995,1,0,0,0,1
BHR,Bahrain,1996,1,0,0,0,1
