file,metric,spine_countries_any,panel_fill_pct,latest_yr_file,cadence,hist_depth_avg_yrs,median_latest_yr,curcov_pct_w3,curcov_pct_w5
areaer_er_clean.csv,areaer_anchor_currency,80,41.5,,snapshot(no-year),0.0,,37.6,37.6
areaer_er_clean.csv,areaer_arrangement,193,100.0,,snapshot(no-year),0.0,,90.6,90.6
areaer_er_clean.csv,areaer_as_of,193,100.0,,snapshot(no-year),0.0,,90.6,90.6
areaer_er_clean.csv,areaer_mpf,193,100.0,,snapshot(no-year),0.0,,90.6,90.6
areaer_er_clean.csv,areaer_reclassified,23,11.9,,snapshot(no-year),0.0,,10.8,10.8
areaer_er_clean.csv,areaer_regime_group,193,100.0,,snapshot(no-year),0.0,,90.6,90.6
areaer_er_clean.csv,areaer_regime_ordinal,193,100.0,,snapshot(no-year),0.0,,90.6,90.6
areaer_fari_clean.csv,fari_aggregate,192,100.0,2024.0,annual,24.7,2023.0,88.7,89.7
areaer_fari_clean.csv,fari_fdi_aggregate,191,99.2,2024.0,annual,24.6,2023.0,88.3,89.2
areaer_fari_clean.csv,fari_fdi_inflow,191,99.2,2024.0,annual,24.6,2023.0,88.3,89.2
areaer_fari_clean.csv,fari_fdi_outflow,191,98.0,2024.0,annual,24.3,2023.0,87.8,88.7
areaer_fari_clean.csv,fari_inflow,192,100.0,2024.0,annual,24.7,2023.0,88.7,89.7
areaer_fari_clean.csv,fari_outflow,192,99.8,2024.0,annual,24.7,2023.0,88.3,89.7
chinn_ito_clean.csv,kaopen,179,100.0,2023.0,annual,46.1,2023.0,82.6,82.6
chinn_ito_clean.csv,kaopen_norm,179,100.0,2023.0,annual,46.1,2023.0,82.6,82.6
civicus_clean.csv,civicus_rating,193,100.0,2025.0,annual,3.4,2025.0,90.6,90.6
civicus_clean.csv,civicus_score,193,100.0,2025.0,annual,3.4,2025.0,90.6,90.6
climate_laws_clean.csv,climate_laws_cumulative,193,100.0,2026.0,annual,26.5,2026.0,90.6,90.6
climate_laws_clean.csv,new_laws,193,100.0,2026.0,annual,26.5,2026.0,90.6,90.6
cpj_clean.csv,cpj_imprisoned,49,100.0,,snapshot(no-year),0.0,,23.0,23.0
cpj_clean.csv,cpj_murdered_confirmed,49,100.0,,snapshot(no-year),0.0,,23.0,23.0
cpj_clean.csv,cpj_murdered_total,49,100.0,,snapshot(no-year),0.0,,23.0,23.0
cpj_clean.csv,cpj_murders_unsolved,49,100.0,,snapshot(no-year),0.0,,23.0,23.0
dpi_clean.csv,dpi_cabinet_stability,170,96.5,2023.0,annual,32.9,2023.0,78.9,78.9
dpi_clean.csv,dpi_checks_balances,170,95.5,2023.0,annual,32.5,2023.0,78.4,78.4
dpi_clean.csv,dpi_election_fraud,170,98.6,2023.0,annual,33.4,2023.0,79.3,79.3
dpi_clean.csv,dpi_exec_electoral_competitiveness,170,99.8,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_exec_years_current_term,170,99.1,2023.0,annual,33.5,2023.0,79.3,79.3
dpi_clean.csv,dpi_exec_years_in_office,170,99.9,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_executive_election_year,170,100.0,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_govt1_seat_share,170,99.5,2023.0,annual,33.7,2023.0,79.3,79.3
dpi_clean.csv,dpi_govt_controls_all_houses,170,98.5,2023.0,annual,33.3,2023.0,79.3,79.3
dpi_clean.csv,dpi_govt_fragmentation,170,91.4,2023.0,annual,31.1,2023.0,77.5,78.4
dpi_clean.csv,dpi_govt_system,170,99.8,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_herfindahl_govt,170,91.4,2023.0,annual,31.1,2023.0,77.5,78.4
dpi_clean.csv,dpi_herfindahl_opp,157,77.9,2023.0,annual,28.7,2023.0,68.5,70.9
dpi_clean.csv,dpi_leg_electoral_competitiveness,170,99.8,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_legislative_election_year,170,100.0,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_majority_govt,170,89.6,2023.0,annual,30.5,2023.0,77.5,77.9
dpi_clean.csv,dpi_military_executive,170,99.8,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_num_govt_parties,170,100.0,2023.0,annual,33.8,2023.0,79.3,79.3
dpi_clean.csv,dpi_num_opp_parties,170,100.0,2023.0,annual,33.8,2023.0,79.3,79.3
