family,file,metric,n,n_unique,min,max,median,skew,excess_kurt,zero_frac,boundary_pile,suggested_method,flag_reason,final_method,method_source,note
symmetric,areaer_er_clean.csv,areaer_regime_ordinal,193,10,1.0,10.0,6.0,0.1,-1.48,0.0,0.24,REVIEW:zscore,ceiling/floor pile (24%),,,
symmetric,areaer_fari_clean.csv,fari_aggregate,4744,423,0.0,0.947,0.293,0.23,-1.49,0.02,0.03,zscore,,,,
symmetric,areaer_fari_clean.csv,fari_fdi_aggregate,4707,12,0.0,1.0,0.5,0.2,-1.0,0.1,0.27,REVIEW:zscore,ceiling/floor pile (27%),,,
symmetric,areaer_fari_clean.csv,fari_inflow,4744,173,0.0,1.0,0.233,0.49,-1.06,0.04,0.04,zscore,,,,
symmetric,areaer_fari_clean.csv,fari_outflow,4734,173,0.0,1.0,0.385,0.13,-1.53,0.14,0.16,zscore,,,,
symmetric,areaer_fari_clean.csv,fari_fdi_inflow,4707,7,0.0,1.0,0.5,0.14,-0.94,0.13,0.32,REVIEW:zscore,ceiling/floor pile (32%),,,
zero_inflated,areaer_fari_clean.csv,fari_fdi_outflow,4648,3,0.0,1.0,0.5,0.05,-1.79,0.43,0.83,log1p_zscore,,,,
symmetric,chinn_ito_clean.csv,kaopen,8247,46,-1.939,2.281,-0.175,0.41,-1.4,0.0,0.32,REVIEW:zscore,ceiling/floor pile (32%),,,
symmetric,chinn_ito_clean.csv,kaopen_norm,8247,46,0.0,1.0,0.418,0.41,-1.4,0.1,0.32,REVIEW:zscore,ceiling/floor pile (32%),,,
symmetric,civicus_clean.csv,civicus_score,657,510,3.94,100.0,49.94,0.05,-1.24,0.0,0.0,zscore,,,,
zero_inflated,climate_laws_clean.csv,new_laws,5124,25,0.0,31.0,0.0,5.09,41.97,0.52,0.52,percentile,,,,
right_skew_pos,climate_laws_clean.csv,climate_laws_cumulative,5124,118,1.0,217.0,7.0,3.64,20.37,0.0,0.16,log_zscore,,,,
moderate_skew,cpj_clean.csv,cpj_imprisoned,49,17,0.0,50.0,2.0,2.51,6.89,0.27,0.29,REVIEW:zscore,ceiling/floor pile (29%),,,
zero_inflated,cpj_clean.csv,cpj_murdered_total,49,8,0.0,32.0,1.0,4.71,23.67,0.45,0.47,percentile,,,,
zero_inflated,cpj_clean.csv,cpj_murdered_confirmed,49,8,0.0,32.0,1.0,4.72,23.78,0.45,0.47,percentile,,,,
zero_inflated,cpj_clean.csv,cpj_murders_unsolved,49,8,0.0,32.0,0.0,4.7,23.59,0.51,0.53,percentile,,,,
ordinal,dpi_clean.csv,dpi_military_executive,5812,3,-999.0,1.0,0.0,-6.84,44.73,0.84,0.16,percentile,,,,
moderate_skew,dpi_clean.csv,dpi_parties_in_govt,5806,76,-999.0,74.0,4.0,-1.5,0.26,0.0,0.2,REVIEW:zscore,possible multimodal (BC=1.00),,,
extreme_skew,dpi_clean.csv,dpi_num_govt_parties,5821,367,0.0,3000.0,80.0,9.16,101.44,0.08,0.08,REVIEW:percentile,possible multimodal (BC=0.81),,,
moderate_skew,dpi_clean.csv,dpi_num_opp_parties,5821,266,0.0,442.0,33.0,1.85,3.61,0.22,0.22,REVIEW:zscore,ceiling/floor pile (22%),,,
zero_inflated,dpi_clean.csv,dpi_govt_fragmentation,5318,798,0.0,1.0,0.0,0.76,-0.94,0.48,0.48,log1p_zscore,,,,
symmetric,dpi_clean.csv,dpi_opp_fragmentation,4513,1063,0.0,1.0,0.505,-0.28,-1.08,0.18,0.19,zscore,,,,
symmetric,dpi_clean.csv,dpi_total_fragmentation,5245,1430,0.0,1.0,0.604,-0.83,-0.18,0.08,0.09,zscore,,,,
ordinal,dpi_clean.csv,dpi_polarization,4821,3,0.0,2.0,0.0,1.38,0.09,0.75,0.93,percentile,,,,
extreme_skew,dpi_clean.csv,dpi_govt1_seat_share,5793,338,-999.0,3000.0,62.0,8.71,98.81,0.08,0.0,REVIEW:percentile,possible multimodal (BC=0.76),,,
extreme_skew,dpi_clean.csv,dpi_opp1_seat_share,5774,194,-999.0,281.0,20.0,-8.03,105.75,0.21,0.0,percentile,,,,
right_skew_pos,dpi_clean.csv,dpi_herfindahl_govt,5318,771,0.02,729.728,1.0,36.41,1324.69,0.0,0.0,REVIEW:log_zscore,possible multimodal (BC=1.00),,,
right_skew_pos,dpi_clean.csv,dpi_herfindahl_opp,4533,1052,0.011,5092.342,0.511,23.92,572.92,0.0,0.0,REVIEW:log_zscore,possible multimodal (BC=0.99),,,
extreme_skew,dpi_clean.csv,dpi_exec_years_in_office,5813,53,-999.0,52.0,4.0,-6.93,46.16,0.0,0.02,REVIEW:percentile,possible multimodal (BC=1.00),,,
moderate_skew,dpi_clean.csv,dpi_exec_years_current_term,5766,8,-999.0,6.0,2.0,-2.04,2.16,0.17,0.15,REVIEW:zscore,possible multimodal (BC=1.00),,,
zero_infl_count,dpi_clean.csv,dpi_cabinet_stability,5620,13,0.0,1.0,0.0,2.29,4.12,0.8,0.85,log1p_zscore,,,,
right_skew_pos,dpi_clean.csv,dpi_checks_balances,5559,14,1.0,18.0,3.0,1.51,8.42,0.0,0.26,REVIEW:log_zscore,ceiling/floor pile (26%),,,
ordinal,dpi_clean.csv,dpi_govt_controls_all_houses,5731,3,-999.0,1.0,0.0,-2.04,2.16,0.39,0.61,percentile,,,,
ordinal,dpi_clean.csv,dpi_opp_majority_lower,5776,3,-999.0,1.0,0.0,-2.96,6.79,0.9,0.1,percentile,,,,
ordinal,dpi_clean.csv,dpi_opp_majority_upper,5763,4,-999.0,999.0,-999.0,0.74,-1.44,0.32,0.67,percentile,,,,
symmetric,dpi_clean.csv,dpi_majority_govt,5214,1074,0.032,1.0,0.617,0.11,-0.44,0.0,0.12,zscore,,,,
ordinal,dpi_clean.csv,dpi_legislative_election_year,5819,3,-999.0,1.0,0.0,-6.93,46.1,0.77,0.23,percentile,,,,
ordinal,dpi_clean.csv,dpi_executive_election_year,5819,3,-999.0,1.0,0.0,-7.03,47.48,0.87,0.13,percentile,,,,
extreme_skew,dpi_clean.csv,dpi_leg_electoral_competitiveness,5808,11,-999.0,7.0,7.0,-6.83,44.69,0.0,0.7,REVIEW:percentile,possible multimodal (BC=1.00),,,
extreme_skew,dpi_clean.csv,dpi_exec_electoral_competitiveness,5808,10,-999.0,7.0,7.0,-6.68,42.65,0.0,0.67,REVIEW:percentile,possible multimodal (BC=1.00),,,
ordinal,dpi_clean.csv,dpi_plurality_system,5652,3,-999.0,1.0,1.0,-2.4,3.78,0.31,0.69,percentile,,,,
ordinal,dpi_clean.csv,dpi_pr_system,5655,3,-999.0,1.0,1.0,-2.03,2.1,0.33,0.67,percentile,,,,
ordinal,dpi_clean.csv,dpi_election_fraud,5741,3,-999.0,1.0,0.0,-2.6,4.77,0.75,0.25,percentile,,,,
symmetric,epi_clean.csv,country_code_epi,354,177,4.0,894.0,417.0,0.07,-1.18,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_epi,354,241,18.9,77.9,43.8,0.48,-0.17,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_cch,354,263,8.8,92.4,41.3,0.47,0.53,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_eco,354,249,14.6,83.1,48.05,0.08,-0.41,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_hlt,354,279,10.9,94.7,41.85,0.54,-0.56,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_bdh,354,288,3.6,91.9,52.9,-0.22,-0.78,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_agr,354,269,1.7,83.0,45.3,-0.07,-0.71,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_fsh,273,230,0.0,100.0,35.5,0.58,-0.88,0.0,0.01,zscore,,,,
symmetric,epi_clean.csv,epi_wrs,351,248,0.0,100.0,23.0,0.64,-0.93,0.1,0.12,zscore,,,,
binary,fatf_clean.csv,methodology_round,189,2,2013.0,2022.0,2013.0,,,0.0,1.0,binary,,,,
ordinal,fatf_clean.csv,IO1_num,189,4,0.0,3.0,1.0,0.12,-0.99,0.29,0.3,percentile,,,,
ordinal,fatf_clean.csv,IO2_num,189,4,0.0,3.0,1.0,-0.2,-0.94,0.21,0.25,percentile,,,,
ordinal,fatf_clean.csv,IO3_num,189,3,0.0,2.0,1.0,0.35,-0.65,0.4,0.49,percentile,,,,
ordinal,fatf_clean.csv,IO4_num,189,3,0.0,2.0,1.0,-0.07,-0.79,0.37,0.4,percentile,,,,
ordinal,fatf_clean.csv,IO5_num,189,4,0.0,3.0,1.0,0.84,0.56,0.48,0.49,percentile,,,,
ordinal,fatf_clean.csv,IO6_num,189,4,0.0,3.0,1.0,0.32,-0.55,0.28,0.31,percentile,,,,
ordinal,fatf_clean.csv,IO7_num,189,3,0.0,2.0,1.0,0.6,-0.6,0.49,0.57,percentile,,,,
ordinal,fatf_clean.csv,IO8_num,189,4,0.0,3.0,1.0,0.75,-0.05,0.41,0.44,percentile,,,,
ordinal,fatf_clean.csv,IO9_num,189,4,0.0,3.0,1.0,0.32,-1.08,0.38,0.4,percentile,,,,
ordinal,fatf_clean.csv,IO10_num,189,4,0.0,3.0,1.0,0.71,-0.09,0.44,0.46,percentile,,,,
ordinal,fatf_clean.csv,IO11_num,189,4,0.0,3.0,0.0,0.96,-0.06,0.54,0.56,percentile,,,,
ordinal,fatf_clean.csv,R1_num,189,4,0.0,3.0,2.0,-0.48,1.18,0.01,0.08,percentile,,,,
ordinal,fatf_clean.csv,R2_num,189,4,0.0,3.0,2.0,-0.46,-0.13,0.01,0.35,percentile,,,,
ordinal,fatf_clean.csv,R3_num,189,3,1.0,3.0,2.0,-0.08,-0.5,0.0,0.4,percentile,,,,
ordinal,fatf_clean.csv,R4_num,189,3,1.0,3.0,2.0,-0.17,-0.52,0.0,0.42,percentile,,,,
ordinal,fatf_clean.csv,R5_num,189,3,1.0,3.0,2.0,-0.17,-0.53,0.0,0.42,percentile,,,,
ordinal,fatf_clean.csv,R6_num,189,4,0.0,3.0,2.0,-0.31,-0.09,0.05,0.2,percentile,,,,
ordinal,fatf_clean.csv,R7_num,189,4,0.0,3.0,2.0,-0.27,-0.64,0.13,0.28,percentile,,,,
ordinal,fatf_clean.csv,R8_num,189,4,0.0,3.0,1.0,-0.06,-0.79,0.2,0.25,percentile,,,,
