metric,final_method,method_source,direction,direction_flipped,pre_transform,baseline_mean,baseline_sd,baseline_n_obs,baseline_year_span,winsor,harmonize_rule
ascor_climate_governance,zscore,rule,+,False,identity,0.4861481481481481,0.2248705587123023,180,2023-2025,3.0,"(clip(z,+/-3)+3)/6"
bci_corruption_index,zscore,rule,-,True,identity,45.3227872476345,18.832936514151157,3699,2002-2021,3.0,"(clip(z,+/-3)+3)/6"
brss_regstringency,zscore,rule,+,False,identity,0.6474993548387097,0.09015173767618338,155,2016-2016,3.0,"(clip(z,+/-3)+3)/6"
ccp_civil_rights_provisions,percentile,rule,+,False,,15.515590809628009,33.398623149187564,3656,2004-2023,,identity (already 0-1)
ccp_information_access,percentile,rule,+,False,,4.772702407002188,17.028632372769422,3656,2004-2023,,identity (already 0-1)
civicus_score,zscore,rule,+,False,identity,51.040000000000006,25.920666589977923,657,2022-2025,3.0,"(clip(z,+/-3)+3)/6"
climate_laws_cumulative,percentile,reviewed,+,False,,14.291549295774647,18.5393876846499,4260,2007-2026,,identity (already 0-1)
cpj_imprisoned,percentile,reviewed,-,True,,0.07253521126760563,1.2817412799992294,4260,2007-2026,,identity (already 0-1)
cpj_murders_unsolved,percentile,rule,-,True,,0.022535211267605635,0.6039456765434833,4260,2007-2026,,identity (already 0-1)
epi_agr,zscore,rule,+,False,identity,45.51525423728813,17.635877468612264,354,2022-2024,3.0,"(clip(z,+/-3)+3)/6"
epi_bdh,zscore,rule,+,False,identity,51.13389830508475,21.07668760762545,354,2022-2024,3.0,"(clip(z,+/-3)+3)/6"
epi_cch,zscore,rule,+,False,identity,41.66271186440677,14.156770335006069,354,2022-2024,3.0,"(clip(z,+/-3)+3)/6"
epi_wrs,zscore,rule,+,False,identity,33.641310541310546,30.72480048209016,351,2022-2024,3.0,"(clip(z,+/-3)+3)/6"
fari_aggregate,zscore,rule,-,True,identity,0.361713496426608,0.2767574426426295,3638,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
fari_fdi_aggregate,zscore,reviewed,-,True,identity,0.48584167359379327,0.310225356834924,3609,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
fari_fdi_inflow,zscore,reviewed,-,True,identity,0.4940431698531449,0.3126850328411213,3609,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
fatf_effectiveness,zscore,rule,+,False,identity,0.8152958152958153,0.5761679073938283,189,2017-2026,3.0,"(clip(z,+/-3)+3)/6"
fatf_technical_compliance,zscore,rule,+,False,identity,2.0538325871659207,0.35128416152375513,189,2017-2026,3.0,"(clip(z,+/-3)+3)/6"
fh_a_electoral_process,zscore,reviewed,+,False,identity,7.608538058799839,4.355687002096333,2483,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
fh_d_expression_belief,zscore,rule,+,False,identity,10.866693515908176,4.480992009516849,2483,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
fh_e_associational_rights,zscore,reviewed,+,False,identity,7.573499798630689,3.844926794710846,2483,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
fh_g_personal_autonomy,zscore,rule,+,False,identity,9.596053161498189,4.074212950289955,2483,2013-2025,3.0,"(clip(z,+/-3)+3)/6"
fr_any_enforcement,binary,rule,+,False,,,,4270,,,identity (already 0-1)
fr_compliance_mean,zscore,reviewed,+,False,identity,0.6738551650692226,0.4237855889293785,626,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
fr_max_legal_basis,percentile,rule,+,False,,3.029655172413793,1.0101979415411297,1450,2005-2024,,identity (already 0-1)
fr_num_rule_types,percentile,rule,+,False,,1.7864754098360656,1.1447946498734742,2440,2005-2024,,identity (already 0-1)
fraser_legal_system,zscore,rule,+,False,identity,5.267500606875478,1.7692326750164584,3235,2004-2023,3.0,"(clip(z,+/-3)+3)/6"
fraser_regulation,zscore,rule,+,False,identity,6.225175506877635,1.122322641568494,3280,2004-2023,3.0,"(clip(z,+/-3)+3)/6"
fraser_trade_freedom,zscore,rule,+,False,identity,7.130328461092081,1.339572823307664,3063,2004-2023,3.0,"(clip(z,+/-3)+3)/6"
fsi_c1_security_apparatus,zscore,rule,-,True,identity,5.558833963164584,2.363600396784911,3116,2006-2023,3.0,"(clip(z,+/-3)+3)/6"
fsi_c2_factionalized_elites,zscore,rule,-,True,identity,6.305095635430038,2.450058398448685,3116,2006-2023,3.0,"(clip(z,+/-3)+3)/6"
fsi_c3_group_grievance,zscore,rule,-,True,identity,5.939940889412686,2.1224869782547686,3116,2006-2023,3.0,"(clip(z,+/-3)+3)/6"
fsi_p2_public_services,zscore,rule,-,True,identity,5.570296668784863,2.4894236860127203,3116,2006-2023,3.0,"(clip(z,+/-3)+3)/6"
gpi_peace_index,zscore,rule,-,True,identity,2.01710113960114,0.44143691705224775,2808,2008-2025,3.0,"(clip(z,+/-3)+3)/6"
idea_local_democracy,zscore,rule,+,False,identity,0.47263088237321904,0.3170834708673544,3364,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
idea_participation,zscore,rule,+,False,identity,0.5604797169253346,0.1763736667440078,3373,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
imapp_breadth_total,log1p_zscore,reviewed,+,False,log1p,1.5946406898882142,0.6758698855372517,2680,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
irena_renewables_share_pct,zscore,rule,+,False,identity,32.98463484246681,32.67649980726937,3872,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
kaopen_norm,zscore,reviewed,+,False,identity,0.5409336901189078,0.37476092930018484,3482,2004-2023,3.0,"(clip(z,+/-3)+3)/6"
nelda_concerns_not_free_fair,binary,rule,-,True,,,,1646,,,identity (already 0-1)
nelda_media_bias_incumbent,binary,rule,-,True,,,,1421,,,identity (already 0-1)
nelda_opposition_allowed,binary,rule,+,False,,,,1102,,,identity (already 0-1)
nelda_riots_protests_after,binary,rule,-,True,,,,1540,,,identity (already 0-1)
nelda_violence_deaths_before,binary,rule,-,True,,,,1509,,,identity (already 0-1)
obs_open_budget_index,zscore,rule,+,False,identity,43.95052265249921,23.36395727105902,911,2006-2023,3.0,"(clip(z,+/-3)+3)/6"
odin_openness,zscore,rule,+,False,identity,0.8604014020225713,0.38515191007768956,1091,2016-2024,3.0,"(clip(z,+/-3)+3)/6"
odin_overall,zscore,rule,+,False,identity,0.7878272764904122,0.31403748570822065,1091,2016-2024,3.0,"(clip(z,+/-3)+3)/6"
pefa_accountability,zscore,rule,+,False,identity,2.1534552845528454,0.5799071145887627,82,2017-2026,3.0,"(clip(z,+/-3)+3)/6"
pefa_core_management,zscore,rule,+,False,identity,2.4356852497096404,0.6475419154875323,82,2017-2026,3.0,"(clip(z,+/-3)+3)/6"
pei_electoral_integrity_index,zscore,rule,+,False,identity,55.06659441944418,17.035372618048356,542,2012-2024,3.0,"(clip(z,+/-3)+3)/6"
pew_gov_restrictions_index,zscore,rule,-,True,identity,3.1110370967741936,2.1713147712205627,3100,2007-2022,3.0,"(clip(z,+/-3)+3)/6"
pew_social_hostilities_index,zscore,rule,-,True,identity,2.3395824935483875,2.3095793214549554,3100,2007-2022,3.0,"(clip(z,+/-3)+3)/6"
polfin_transparency_integrity,zscore,rule,+,False,identity,0.6056405080987124,0.2688773776351219,175,2026-2026,3.0,"(clip(z,+/-3)+3)/6"
pt_coup_failed,percentile,rule,-,True,,0.009624413145539907,0.11729081775578139,4260,2006-2025,,identity (already 0-1)
pt_coup_successful,percentile,rule,-,True,,0.17582159624413146,0.6719234573158975,4260,2006-2025,,identity (already 0-1)
pts_index,zscore,reviewed,-,True,identity,2.3623092528887715,1.1237189313205063,3779,2005-2024,3.0,"(clip(z,+/-3)+3)/6"
romelli_cbi_index,zscore,rule,+,False,identity,0.6775674287607687,0.1583110043495401,3018,2004-2023,3.0,"(clip(z,+/-3)+3)/6"
rti_total,zscore,reviewed,+,False,identity,65.60834953955381,39.528016585173155,191,2026-2026,3.0,"(clip(z,+/-3)+3)/6"
spi_overall,zscore,rule,+,False,identity,65.57001402743143,17.194601352958067,1604,2016-2024,3.0,"(clip(z,+/-3)+3)/6"
tfi_avg,zscore,rule,+,False,identity,1.1623258196721309,0.44666997662913177,488,2017-2022,3.0,"(clip(z,+/-3)+3)/6"
ti_cpi_score,zscore,rule,+,False,identity,43.34646017699115,19.068619935137285,2260,2012-2024,3.0,"(clip(z,+/-3)+3)/6"
ucdp_sb_intrastate_deaths_best,percentile,reviewed,-,True,,0.1399987886697934,0.5476257546382692,4260,2005-2024,,identity (already 0-1)
unodc_homicide_rate,percentile,rule,-,True,,7.8916246603365545,12.151700506105646,2484,2005-2024,,identity (already 0-1)
v2clacjstw,zscore,rule,+,False,identity,0.8920710334788938,1.2740844435655012,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2cldmovem,zscore,rule,+,False,identity,1.2660745269286755,0.8654918462530152,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2cldmovew,zscore,rule,+,False,identity,1.1556917030567684,1.104366902952012,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clkill,zscore,rule,+,False,identity,1.2567752547307134,1.472062929254254,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clrelig,zscore,rule,+,False,identity,1.0738288209606988,1.3098736620687081,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clrgunev,zscore,rule,+,False,identity,0.5782879184861718,1.246713516962337,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clrspct,zscore,rule,+,False,identity,0.45211877729257643,1.4632565025642676,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clslavef,zscore,rule,+,False,identity,0.9706704512372634,0.8944796584463636,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clsocgrp,zscore,rule,+,False,identity,0.9549595342066958,1.1700559592205397,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
v2clstown,zscore,rule,+,False,identity,0.6714241630276564,1.0370261073403708,3435,2006-2025,3.0,"(clip(z,+/-3)+3)/6"
