iso3,concept_id,magnitude,breadth,n_slope_metrics,n_improving,n_flat,n_deteriorating
AGO,1,-0.00015139214509002474,0.0,5,0,5,0
AGO,2,-0.0006064776578520721,-0.2,5,1,2,2
AGO,3,,,0,0,0,0
AGO,4,0.003189611664029193,,2,0,2,0
AGO,5,,,0,0,0,0
AGO,6,0.003543083531155282,,1,0,1,0
AGO,8,,,0,0,0,0
AGO,9,,,0,0,0,0
AGO,10,0.0349959045483732,,1,1,0,0
AGO,11,,,0,0,0,0
AGO,12,-1.3520451247386129e-17,,2,0,2,0
AGO,13,-0.006142305041775046,,2,0,1,1
AGO,14,0.0021400827170406605,0.0,5,0,5,0
AGO,15,0.002823962547608105,0.14285714285714285,7,1,6,0
AGO,16,-0.0044648810325746725,-0.4,5,0,3,2
AGO,17,-0.0011401019389255603,,2,0,2,0
AGO,18,-0.0004905680953108532,0.0,4,0,4,0
AGO,19,-0.0006895514653755126,0.0,5,0,5,0
AGO,20,0.0015171730783331981,0.0,9,0,9,0
AGO,21,0.001359599825334828,0.0,9,2,5,2
AGO,22,0.006699925292896819,0.125,8,1,7,0
AGO,23,-0.00017276811093712842,0.0,8,0,8,0
AGO,24,-0.005029936163706336,-0.16666666666666666,6,1,3,2
AGO,25,0.015904475293012,0.3333333333333333,3,1,2,0
ARE,1,-0.0015734045406388516,0.0,4,0,4,0
ARE,2,0.0029652420604170874,0.2,5,1,4,0
ARE,3,,,0,0,0,0
ARE,4,-0.0009489770596885329,,2,0,2,0
ARE,5,,,0,0,0,0
ARE,6,0.0060466543478517425,,1,0,1,0
ARE,8,,,0,0,0,0
ARE,9,,,0,0,0,0
ARE,10,0.022950241880624847,,1,1,0,0
ARE,11,,,0,0,0,0
ARE,12,0.003978873239436556,,2,1,1,0
ARE,13,-0.00020542826226574695,,2,0,2,0
ARE,14,-0.0008494493369463733,0.0,5,0,5,0
ARE,15,-0.00972392913919451,-0.14285714285714285,7,1,4,2
ARE,16,0.002965242060417091,0.2,5,1,4,0
ARE,17,-0.0014883859485741043,,2,0,2,0
ARE,18,0.004808187547388666,0.25,4,1,3,0
ARE,19,0.008119644550018767,0.2,5,1,4,0
ARE,20,0.0025450207023497147,0.1111111111111111,9,1,8,0
ARE,21,-0.00032944269031531234,-0.1111111111111111,9,0,8,1
ARE,22,-0.006316180643865646,-0.25,8,0,6,2
ARE,23,-0.02440572570219515,-0.125,8,0,7,1
ARE,24,-0.0005593826380080156,-0.16666666666666666,6,0,5,1
ARE,25,-0.0013810199558159618,0.0,3,0,3,0
ARG,1,-0.01105505945280769,-0.4,5,0,3,2
ARG,2,0.0016458633117631598,0.2,5,1,4,0
ARG,3,,,0,0,0,0
ARG,4,-0.017913275629325487,,2,0,1,1
ARG,5,,,0,0,0,0
ARG,6,0.003628823265325705,,1,0,1,0
ARG,8,,,0,0,0,0
ARG,9,,,0,0,0,0
ARG,10,0.008027763178844568,,1,0,1,0
ARG,11,,,0,0,0,0
ARG,12,0.0046076178799729205,0.2,5,1,4,0
ARG,13,-0.08762545344771186,,2,0,1,1
ARG,14,-0.017713150758819705,-0.6,5,0,2,3
ARG,15,-0.015736175715852153,-0.5714285714285714,7,0,3,4
ARG,16,0.0008910758255225026,0.4,5,3,1,1
ARG,17,0.008346876948488223,,2,1,1,0
ARG,18,-0.0015838429669056105,0.0,4,0,4,0
ARG,19,-0.00046547579307514226,0.2,5,2,2,1
ARG,20,-0.0037256293075634867,-0.2222222222222222,9,1,5,3
ARG,21,-0.03168466497477217,-0.7777777777777778,9,0,2,7
ARG,22,-0.016333007347715634,-0.625,8,0,3,5
ARG,23,-0.0189343760943368,-0.5,8,0,4,4
ARG,24,-0.042590062254031225,-0.8333333333333334,6,0,1,5
ARG,25,-0.021066720415994056,-0.6666666666666666,3,0,1,2
AUS,1,0.0006332229316926206,0.0,5,0,5,0
AUS,2,-0.00013124218700921055,0.0,5,0,5,0
AUS,3,,,0,0,0,0
AUS,4,-0.0014563215653647379,,2,0,2,0
AUS,5,,,0,0,0,0
AUS,6,-0.0029126431307295204,,1,0,1,0
AUS,8,,,0,0,0,0
AUS,9,,,0,0,0,0
AUS,10,-5.777045735576945e-18,,1,0,1,0
AUS,11,,,0,0,0,0
AUS,12,0.04815973392285996,0.3333333333333333,6,2,4,0
AUS,13,5.928504145655957e-17,,2,0,2,0
AUS,14,0.0027142456080148144,0.0,5,0,5,0
AUS,15,-0.00418627243033757,-0.14285714285714285,7,0,6,1
AUS,16,-0.00013124218700922592,0.0,5,0,5,0
AUS,17,-0.004781191470320241,,2,0,2,0
AUS,18,0.0012572878144951523,0.0,4,0,4,0
AUS,19,1.1582265130157646e-17,0.0,5,0,5,0
AUS,20,-0.0016391611913168815,-0.1111111111111111,9,1,6,2
AUS,21,0.012037803020143251,0.2222222222222222,9,3,5,1
AUS,22,0.0005808322590542397,0.0,8,0,8,0
