country_code,country_name_source,assessment_year,framework_version,indicator_code,level,raw_grade,quality_flag,numeric_score
IRQ,Iraq,2017,2016,PI-01,indicator,D,False,1.0
BFA,Burkina Faso,2017,2016,PI-01,indicator,D,False,1.0
GAB,Gabon,2017,2016,PI-01,indicator,D,False,1.0
SYC,Seychelles,2017,2016,PI-01,indicator,A,False,4.0
MWI,Malawi,2018,2016,PI-01,indicator,A,False,4.0
GIN,Guinea,2018,2016,PI-01,indicator,D,False,1.0
ZWE,Zimbabwe,2018,2016,PI-01,indicator,B,False,3.0
GHA,Ghana,2018,2016,PI-01,indicator,D*,True,1.0
AFG,Afghanistan,2018,2016,PI-01,indicator,D,False,1.0
GTM,Guatemala,2018,2016,PI-01,indicator,B,False,3.0
IDN,Indonesia,2018,2016,PI-01,indicator,C,False,2.0
TCD,Chad,2018,2016,PI-01,indicator,D,False,1.0
MNE,Montenegro,2019,2016,PI-01,indicator,B,False,3.0
PSE,West Bank and Gaza,2019,2016,PI-01,indicator,B,False,3.0
NGA,Nigeria,2019,2016,PI-01,indicator,C,False,2.0
ETH,Ethiopia,2019,2016,PI-01,indicator,A,False,4.0
NCL,New Caledonia,2019,2016,PI-01,indicator,A,False,4.0
SLV,El Salvador,2019,2016,PI-01,indicator,A,False,4.0
ARG,Argentina,2019,2016,PI-01,indicator,C,False,2.0
UKR,Ukraine,2019,2016,PI-01,indicator,A,False,4.0
STP,Sao Tome and Principe,2019,2016,PI-01,indicator,D,False,1.0
TLS,Timor-Leste,2020,2016,PI-01,indicator,C,False,2.0
SEN,Senegal,2020,2016,PI-01,indicator,B,False,3.0
BWA,Botswana,2020,2016,PI-01,indicator,A,False,4.0
MMR,Myanmar,2020,2016,PI-01,indicator,A,False,4.0
TON,Tonga,2020,2016,PI-01,indicator,D,False,1.0
COD,Democratic Republic of Congo,2020,2016,PI-01,indicator,D,False,1.0
KGZ,Kyrgyz Republic,2021,2016,PI-01,indicator,B,False,3.0
LBR,Liberia,2021,2016,PI-01,indicator,B,False,3.0
MOZ,Mozambique,2021,2016,PI-01,indicator,C,False,2.0
MDV,Maldives,2021,2016,PI-01,indicator,B,False,3.0
MNG,Mongolia,2021,2016,PI-01,indicator,B,False,3.0
MLI,Mali,2021,2016,PI-01,indicator,C,False,2.0
SRB,Serbia,2021,2016,PI-01,indicator,A,False,4.0
COK,Cook Islands,2021,2016,PI-01,indicator,B,False,3.0
GRL,Greenland,2021,2016,PI-01,indicator,A,False,4.0
NIU,Niue,2021,2016,PI-01,indicator,C,False,2.0
MDG,Madagascar,2021,2016,PI-01,indicator,D,False,1.0
SLE,Sierra Leone,2022,2016,PI-01,indicator,D,False,1.0
MDA,Moldova,2022,2016,PI-01,indicator,B,False,3.0
JOR,Jordan,2022,2016,PI-01,indicator,A,False,4.0
SPM,St. Pierre and Miquelon,2022,2016,PI-01,indicator,D,False,1.0
XKX,Kosovo,2022,2016,PI-01,indicator,B,False,3.0
RWA,Rwanda,2022,2016,PI-01,indicator,B,False,3.0
PYF,French Polynesia,2022,2016,PI-01,indicator,A,False,4.0
TZA,Tanzania,2022,2016,PI-01,indicator,D,False,1.0
KHM,Cambodia,2022,2016,PI-01,indicator,A,False,4.0
DOM,Dominican Republic,2022,2016,PI-01,indicator,C,False,2.0
