country_code,polfin_transparency_integrity,polfin_n_answered
AFG,0.47368421052631576,19
ALB,0.9,20
DZA,0.825,20
AND,0.9,20
AGO,0.6111111111111112,18
ATG,0.25,18
ARG,0.8666666666666667,15
ARM,0.8666666666666667,15
AUS,0.4722222222222222,18
AUT,0.5277777777777778,18
AZE,0.9,20
BHS,0.05,20
BHR,0.75,12
BGD,0.6052631578947368,19
BRB,0.3157894736842105,19
BLR,0.5526315789473685,19
BEL,0.8,15
BLZ,0.05263157894736842,19
BEN,0.47368421052631576,19
BTN,0.8947368421052632,19
BOL,0.6875,16
BIH,0.9210526315789473,19
BWA,0.39473684210526316,19
BRA,0.95,20
BGR,0.925,20
BFA,0.35714285714285715,14
BDI,0.3,20
CPV,0.8947368421052632,19
KHM,0.42105263157894735,19
CMR,0.15,20
CAN,0.9444444444444444,18
CAF,0.2222222222222222,18
TCD,0.2,20
CHL,0.8611111111111112,18
COL,0.85,20
COM,0.10526315789473684,19
COD,0.3888888888888889,18
CRI,0.7333333333333333,15
CIV,0.45,20
HRV,0.9411764705882353,17
CYP,0.6842105263157895,19
CZE,0.8157894736842105,19
DNK,0.3888888888888889,18
DJI,0.3,10
DMA,0.18181818181818182,11
DOM,0.7,20
ECU,0.875,20
EGY,0.8888888888888888,18
SLV,0.7,20
GNQ,,4
EST,0.9444444444444444,18
SWZ,,2
ETH,0.5789473684210527,19
FJI,0.85,20
FIN,0.868421052631579,19
FRA,0.8333333333333334,18
GAB,0.36363636363636365,11
GEO,0.9,20
DEU,0.47368421052631576,19
GHA,0.6111111111111112,18
GRC,0.9166666666666666,18
GRD,0.0625,16
GTM,0.8947368421052632,19
GIN,0.5588235294117647,17
GNB,0.5882352941176471,17
GUY,0.3333333333333333,15
HTI,0.6923076923076923,13
HND,0.8,20
HUN,0.8823529411764706,17
ISL,0.8157894736842105,19
IND,0.8235294117647058,17
IDN,0.8,20
IRN,0.75,20
IRQ,0.9333333333333333,15
IRL,0.5833333333333334,18
ISR,0.925,20
ITA,0.84375,16
JAM,0.6578947368421053,19
JPN,0.8421052631578947,19
JOR,0.8461538461538461,13
KAZ,0.631578947368421,19
KEN,0.8,20
KIR,0.13333333333333333,15
KOR,0.8333333333333334,18
KGZ,0.8,20
LVA,1.0,15
LBN,0.47368421052631576,19
LSO,0.3611111111111111,18
LBR,1.0,18
LBY,0.9090909090909091,11
LIE,0.2631578947368421,19
LTU,0.9117647058823529,17
LUX,0.7894736842105263,19
MDG,0.3684210526315789,19
MWI,0.5277777777777778,18
MYS,0.3,20
MDV,0.7,20
MLI,0.25,16
MLT,0.6052631578947368,19
MHL,0.25,16
MRT,0.625,16
MUS,0.23529411764705882,17
MEX,0.9210526315789473,19
FSM,0.10526315789473684,19
MDA,0.9736842105263158,19
MCO,0.29411764705882354,17
MNG,0.8421052631578947,19
MNE,0.95,20
MAR,0.6,20
MOZ,0.47368421052631576,19
MMR,0.6,20
NAM,0.4166666666666667,18
NRU,0.125,16
NPL,0.8055555555555556,18
NLD,0.4166666666666667,18
NZL,0.4444444444444444,18
NIC,0.65,20
NER,0.3888888888888889,18
NGA,0.8,20
MKD,0.8947368421052632,19
NOR,0.4722222222222222,18
PAK,0.6052631578947368,19
PLW,0.475,20
PAN,0.9210526315789473,19
PNG,0.65,20
PRY,0.875,20
PER,0.8529411764705882,17
PHL,0.675,20
POL,0.8947368421052632,19
PRT,1.0,16
COG,0.42857142857142855,14
ROU,0.8333333333333334,18
RUS,0.8611111111111112,18
RWA,0.3,20
KNA,0.0625,16
LCA,0.05263157894736842,19
VCT,0.0625,16
WSM,0.125,16
SMR,0.40625,16
STP,,6
SEN,0.2,20
SRB,0.9736842105263158,19
SYC,0.4444444444444444,18
SLE,0.7,20
SGP,0.4722222222222222,18
SVK,0.8214285714285714,14
SVN,0.75,20
SLB,0.45,20
ZAF,0.5357142857142857,14
ESP,0.6111111111111112,18
LKA,0.75,20
SDN,0.8666666666666667,15
SUR,0.2857142857142857,14
SWE,0.34375,16
CHE,0.575,20
SYR,0.5714285714285714,14
TWN,0.8823529411764706,17
TJK,0.8,20
TZA,0.6,20
THA,0.631578947368421,19
GMB,0.1875,16
TLS,0.75,20
TGO,0.5882352941176471,17
TON,0.15,20
TTO,0.325,20
TUN,0.9,20
TUR,0.55,20
TKM,0.25,16
TUV,0.23076923076923078,13
UGA,0.45,20
UKR,0.9,20
GBR,0.6842105263157895,19
USA,0.9736842105263158,19
URY,0.7777777777777778,18
UZB,0.6842105263157895,19
VUT,0.125,16
VEN,0.7368421052631579,19
YEM,0.71875,16
ZMB,0.3888888888888889,18
ZWE,0.16666666666666666,18
