country_code,rti_total,Right of Access,Scope,Requesting Procedure,Exceptions & Refusals,Appeals,Sanctions & Protections,Promotional Measures,rti_law_year,has_rti_law
AFG,139.0,5,30,28,30,26,6,14,2014,1
AGO,75.0,3,20,11,18,18,0,5,2002,1
ALB,127.0,6,29,26,27,23,6,10,1999,1
AND,73.0,3,16,17,17,10,0,10,2021,1
ARE,9.317544354015276,,,,,,,,,0
ARG,104.0,6,29,22,16,19,1,11,2004,1
ARM,102.0,4,28,20,17,17,6,10,2003,1
ATG,113.0,3,24,20,23,24,5,14,2004,1
AUS,87.0,2,11,22,15,23,4,10,1982,1
AUT,64.0,2,21,17,14,8,1,1,1987,1
AZE,94.0,2,27,22,14,20,5,4,2005,1
BDI,9.317544354015276,,,,,,,,,0
BEL,59.0,2,17,14,15,11,0,0,1994,1
BEN,52.0,1,7,13,14,14,3,0,2015,1
BFA,79.0,4,25,19,8,14,3,6,2015,1
BGD,109.0,2,25,16,20,23,8,15,2009,1
BGR,92.0,4,30,23,20,3,4,8,2000,1
BHR,9.317544354015276,,,,,,,,,0
BHS,101.0,4,16,18,16,27,6,14,2017,1
BIH,102.0,4,30,21,19,16,0,12,2000,1
BLR,38.0,2,25,5,3,0,0,3,2008,1
BLZ,85.0,1,19,18,19,19,3,6,1994,1
BOL,70.0,4,15,9,17,13,4,8,2005,1
BRA,108.0,6,29,19,16,22,3,13,2011,1
BRB,9.317544354015276,,,,,,,,,0
BRN,9.317544354015276,,,,,,,,,0
BTN,9.317544354015276,,,,,,,,,0
BWA,9.317544354015276,,,,,,,,,0
CAF,9.317544354015276,,,,,,,,,0
CAN,95.0,5,14,20,13,26,6,11,1985,1
CHE,77.0,3,19,18,13,14,0,10,2004,1
CHL,94.0,5,17,21,14,23,4,10,2008,1
CHN,75.0,2,13,17,15,12,4,12,2007,1
CIV,87.0,4,15,19,17,17,4,11,2013,1
CMR,9.317544354015276,,,,,,,,,0
COD,9.317544354015276,,,,,,,,,0
COG,9.317544354015276,,,,,,,,,0
COK,71.0,4,15,16,16,15,3,2,2008,1
COL,103.0,5,29,17,23,15,4,10,1985,1
COM,9.317544354015276,,,,,,,,,0
CPV,50.0,3,15,17,7,3,0,5,2022,1
CRI,71.0,3,23,19,2,16,4,4,2017,1
CUB,67.0,5,23,7,14,7,1,10,2026,1
CYP,84.0,0,27,15,14,18,4,6,2017,1
CZE,71.0,1,28,14,14,10,0,4,1999,1
DEU,55.0,0,19,8,11,15,0,2,2005,1
DJI,9.317544354015276,,,,,,,,,0
DMA,9.317544354015276,,,,,,,,,0
DNK,64.0,1,17,13,10,23,0,0,1970,1
DOM,58.0,4,21,14,11,3,2,3,2004,1
DZA,9.317544354015276,,,,,,,,,0
ECU,78.0,6,28,10,14,8,3,9,2004,1
EGY,9.317544354015276,,,,,,,,,0
ERI,9.317544354015276,,,,,,,,,0
ESP,73.0,0,14,13,20,12,0,14,2013,1
EST,95.0,4,20,24,22,16,1,8,2000,1
ETH,110.0,3,25,19,18,25,6,14,2008,1
FIN,106.0,6,28,23,16,20,3,10,1951,1
FJI,64.0,4,16,10,10,12,2,10,2018,1
FRA,66.0,2,17,15,14,16,0,2,1978,1
FSM,9.317544354015276,,,,,,,,,0
GAB,9.317544354015276,,,,,,,,,0
GBR,92.0,2,21,19,14,24,6,6,2000,1
GEO,93.0,4,30,17,18,14,1,9,1999,1
GHA,97.0,5,13,19,18,21,7,14,2019,1
GIN,85.0,4,18,20,18,18,2,5,2021,1
GMB,128.0,2,30,24,23,28,7,14,2021,1
GNB,9.317544354015276,,,,,,,,,0
GNQ,9.317544354015276,,,,,,,,,0
GRC,64.0,4,12,15,13,17,0,3,1986,1
GRD,9.317544354015276,,,,,,,,,0
GTM,92.0,4,29,16,21,5,3,14,2008,1
GUY,69.0,4,15,16,10,9,4,11,2011,1
HND,84.0,2,24,13,12,18,2,13,2006,1
HRV,126.0,5,30,22,26,29,5,9,2003,1
HTI,9.317544354015276,,,,,,,,,0
HUN,84.0,1,29,13,12,20,0,9,1992,1
IDN,100.0,5,28,13,16,25,3,10,2008,1
IND,126.0,4,25,24,26,29,5,13,2005,1
IRL,95.0,3,21,21,10,23,6,11,2003,1
IRN,71.0,1,26,10,10,12,2,10,2009,1
IRQ,9.317544354015276,,,,,,,,,0
ISL,64.0,0,10,21,17,12,0,4,1996,1
ISR,80.0,4,23,20,15,10,4,4,1998,1
ITA,85.0,4,22,21,18,9,4,7,1990,1
JAM,88.0,3,19,22,14,17,5,8,2002,1
JOR,56.0,0,26,6,10,9,0,5,2007,1
JPN,77.0,3,15,16,22,14,2,5,1999,1
KAZ,60.0,0,30,21,1,7,0,1,2015,1
KEN,113.0,4,29,19,19,24,6,12,2016,1
KGZ,103.0,6,21,23,18,22,2,11,2007,1
KHM,9.317544354015276,,,,,,,,,0
KIR,9.317544354015276,,,,,,,,,0
KNA,116.0,2,25,18,23,25,8,15,2018,1
KOR,98.0,4,22,17,21,21,1,12,1996,1
KWT,54.0,3,17,11,10,5,3,5,2020,1
LAO,9.317544354015276,,,,,,,,,0
LBN,72.0,2,26,14,7,12,0,11,2017,1
LBR,123.0,4,30,19,27,20,7,16,2010,1
LBY,9.317544354015276,,,,,,,,,0
LCA,9.317544354015276,,,,,,,,,0
LIE,37.0,0,17,10,5,1,0,4,1999,1
LKA,131.0,5,28,26,23,29,4,16,2016,1
LSO,9.317544354015276,,,,,,,,,0
LTU,64.0,3,24,20,11,6,0,0,1996,1
