iso3,country_name_source,year,tfi_avg
AGO,Angola,2017,0.738
AGO,Angola,2019,0.814
AGO,Angola,2022,0.919
ALB,Albania,2017,1.153
ALB,Albania,2019,1.364
ALB,Albania,2022,1.426
ARE,United Arab Emirates,2017,1.291
ARE,United Arab Emirates,2019,1.344
ARE,United Arab Emirates,2022,1.482
ARG,Argentina,2017,1.314
ARG,Argentina,2019,1.477
ARG,Argentina,2022,1.543
ARM,Armenia,2017,0.999
ARM,Armenia,2019,1.382
ARM,Armenia,2022,1.441
ATG,Antigua and Barbuda,2017,0.695
ATG,Antigua and Barbuda,2019,0.765
ATG,Antigua and Barbuda,2022,0.765
AUS,Australia,2017,1.727
AUS,Australia,2019,1.79
AUS,Australia,2022,1.839
AUT,Austria,2017,1.69
AUT,Austria,2019,1.741
AUT,Austria,2022,1.786
AZE,Azerbaijan,2017,1.119
AZE,Azerbaijan,2019,1.208
AZE,Azerbaijan,2022,1.299
BDI,Burundi,2017,0.49
BDI,Burundi,2019,0.471
BDI,Burundi,2022,0.53
BEL,Belgium,2017,1.672
BEL,Belgium,2019,1.718
BEL,Belgium,2022,1.799
BEN,Benin,2017,0.587
BEN,Benin,2019,0.685
BEN,Benin,2022,0.99
BFA,Burkina Faso,2017,0.549
BFA,Burkina Faso,2019,0.627
BFA,Burkina Faso,2022,0.642
BGD,Bangladesh,2017,0.783
BGD,Bangladesh,2019,0.951
BGD,Bangladesh,2022,1.056
BGR,Bulgaria,2017,1.491
BGR,Bulgaria,2019,1.61
BGR,Bulgaria,2022,1.693
BHR,Bahrain,2017,1.013
BHR,Bahrain,2019,1.062
BHR,Bahrain,2022,1.283
BHS,Bahamas,2017,0.728
BHS,Bahamas,2019,0.712
BHS,Bahamas,2022,0.719
BIH,Bosnia and Herzegovina,2017,1.048
BIH,Bosnia and Herzegovina,2019,1.198
BIH,Bosnia and Herzegovina,2022,1.243
BLR,Belarus,2017,0.563
BLR,Belarus,2019,0.694
BLR,Belarus,2022,0.694
BLZ,Belize,2017,0.4
BLZ,Belize,2019,0.518
BLZ,Belize,2022,0.538
BOL,Bolivia,2017,0.724
BOL,Bolivia,2019,0.852
BOL,Bolivia,2022,0.918
BRA,Brazil,2017,1.237
BRA,Brazil,2019,1.507
BRA,Brazil,2022,1.575
BRB,Barbados,2017,0.57
BRB,Barbados,2019,0.656
BRB,Barbados,2022,0.735
BRN,Brunei Darussalam,2017,1.109
BRN,Brunei Darussalam,2019,1.348
BRN,Brunei Darussalam,2022,1.376
BTN,Bhutan,2017,0.55
BTN,Bhutan,2019,0.588
BTN,Bhutan,2022,0.655
BWA,Botswana,2017,1.072
BWA,Botswana,2019,1.174
BWA,Botswana,2022,1.175
CAF,Central African Republic,2017,0.317
CAF,Central African Republic,2019,0.504
CAF,Central African Republic,2022,0.627
CAN,Canada,2017,1.696
CAN,Canada,2019,1.754
CAN,Canada,2022,1.795
CHE,Switzerland,2017,1.574
CHE,Switzerland,2019,1.738
CHE,Switzerland,2022,1.801
CHL,Chile,2017,1.441
CHL,Chile,2019,1.549
CHL,Chile,2022,1.617
CHN,China,2017,1.348
CHN,China,2019,1.543
CHN,China,2022,1.606
