country_code,supervisory_power,supervisory_independence,capital_stringency,private_monitoring,resolution_regime,provisioning,liquidity_concentration,macroprudential,supervisory_capacity,brss_regstringency,brss_coverage,brss_reliable
ALB,0.6667,0.75,0.4181,0.7273,0.5714,1.0,0.6667,0.7143,0.765,0.6935,0.964,True
AGO,1.0,0.5,0.5595,1.0,0.5,0.6667,1.0,0.8571,0.665,0.7575,0.893,True
ATG,0.8333,0.5,0.68,0.8182,0.5,0.5,0.4,0.5,0.625,0.6077,0.911,True
ARG,0.6667,0.25,0.7583,0.4545,0.4286,1.0,0.8,0.5714,0.615,0.5654,1.0,True
ARM,0.8333,0.75,0.5736,0.7273,0.2857,0.8333,0.6,0.7143,0.537,0.6547,1.0,True
ABW,0.8333,0.5,0.2976,0.6364,0.5,0.5,0.4,0.1667,0.61,0.5057,0.911,True
AUS,0.5,0.75,0.8,0.7273,0.1429,0.5,0.8,0.4286,0.7,0.5641,1.0,True
AUT,0.8333,1.0,0.8,0.6364,0.4286,0.3333,0.6,0.7143,0.61,0.6835,1.0,True
AZE,0.8333,0.6667,0.1146,0.7273,0.5714,0.3333,0.6,0.7143,0.455,0.6092,0.982,True
BHR,1.0,0.25,0.7703,0.5455,0.7143,0.8333,0.6,0.5714,1.0,0.669,0.982,True
BGD,0.8333,0.75,0.6604,0.9091,0.5714,0.6667,1.0,0.8571,0.85,0.7871,1.0,True
BLR,0.8333,0.5,0.6368,0.4545,0.1429,0.5,0.4,0.4286,0.5655,0.4872,1.0,True
BEL,0.8333,0.5,0.675,0.8182,0.5714,0.8333,0.8,0.7143,0.635,0.7013,1.0,True
BLZ,0.8333,0.5,0.2059,0.7273,0.2857,0.8333,0.4,0.4286,0.285,0.5196,1.0,True
BEN,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
BMU,1.0,0.75,0.8567,0.7273,0.2857,0.6,0.6,0.8571,1.0,0.7355,0.964,True
BTN,0.6667,0.75,0.6146,0.4,0.0,1.0,0.6,0.5,0.25,0.507,0.857,True
BOL,0.6667,0.5,0.3812,0.6364,0.4,0.6667,0.6,0.25,0.5125,0.5047,0.911,True
BIH,0.5,0.6667,0.5819,0.8182,0.4286,0.8333,1.0,0.1429,0.574,0.5787,0.946,True
BWA,1.0,0.5,0.6719,0.9091,0.3333,1.0,0.4,0.5714,0.785,0.6775,0.982,True
BRA,0.8333,0.25,0.8154,0.6364,0.4286,0.6667,0.8,0.8571,0.815,0.6506,1.0,True
VGB,0.8333,0.75,0.4542,0.6364,0.0,0.0,0.4,0.3333,0.5,0.4614,0.911,True
BGR,0.6667,0.75,0.8,0.8182,0.8571,0.5,0.8,0.5714,1.0,0.7448,1.0,True
BFA,0.5,1.0,0.1111,0.6,0.1429,0.8,1.0,0.3333,1.0,0.576,0.804,True
BDI,0.5,0.75,0.5113,0.6364,0.2,1.0,0.6,0.4286,0.515,0.5469,0.964,True
CPV,1.0,1.0,0.3958,0.9,0.4286,0.8333,0.3333,0.5,0.915,0.7239,0.839,True
CAN,0.6667,0.75,0.7722,0.6364,0.8571,0.5,0.6,0.8571,1.0,0.7433,0.982,True
CYM,0.6667,0.75,0.5396,0.5455,0.0,0.3333,0.6,0.3333,0.75,0.4867,0.982,True
CHL,0.8333,0.25,0.1667,0.7273,0.6,1.0,0.6667,0.5,0.53,0.5846,0.875,True
CHN,1.0,0.0,0.8,0.6364,0.5,1.0,0.75,1.0,,0.6787,0.804,True
COL,0.8333,0.5,0.3829,0.9091,0.1429,1.0,0.6,0.8571,0.835,0.6645,0.982,True
COM,,,1.0,0.8571,,,1.0,,,0.9286,0.196,False
COD,,,0.5896,1.0,,,,,,0.8632,0.161,False
COK,0.6667,1.0,0.3646,0.4545,0.0,0.8333,0.4,0.0,0.25,0.435,1.0,True
CRI,0.6667,0.5,0.3214,0.9091,0.3333,0.8333,0.8,0.5714,1.0,0.6368,0.964,True
HRV,1.0,0.75,0.8,0.9091,0.7143,0.8333,0.6,0.7143,0.6,0.7863,1.0,True
CUW,1.0,0.5,0.4002,0.6364,0.1429,0.6667,0.4,1.0,0.745,0.6264,1.0,True
CYP,0.4,0.5,0.8,0.7273,0.8571,0.6,0.6,1.0,0.94,0.7078,0.964,True
CZE,0.5,0.5,0.8,0.7273,0.7143,0.6667,0.8,1.0,0.575,0.6946,1.0,True
